reference,credit_date,credit_amount
ORD1000,2026-07-28,21296.26
ORD1001,2026-07-15,38935.65
ORD1002,2026-07-11,17016.39
ORD1003,2026-07-15,15179.91
ORD1004,2026-07-02,29580.25
ORD1005,2026-07-27,28403.21
ORD1006,2026-07-16,38016.64
ORD1007,2026-07-02,5387.7
ORD1008,2026-07-07,23258.79
ORD1009,2026-07-11,19081.07
ORD1010,2026-07-22,27519.64
ORD1011,2026-07-26,1389.14
ORD1012,2026-07-05,25674.42
ORD1013,2026-07-13,42827.05
ORD1015,2026-07-28,8001.95
ORD1016,2026-07-07,38774.03
ORD1017,2026-07-16,24988.61
ORD1018,2026-07-11,9543.94
ORD1019,2026-07-08,36533.42
ORD1020,2026-07-23,7881.09
ORD1021,2026-07-17,23305.65
ORD1022,2026-07-27,12609.53
ORD1023,2026-07-26,12498.14
ORD1024,2026-07-11,7728.07
ORD1025,2026-07-04,15421.61
ORD1026,2026-07-08,37027.94
ORD1027,2026-07-10,35611.5
ORD1028,2026-07-07,12386.87
ORD1029,2026-07-20,40559.17
ORD1030,2026-07-22,21288.33
ORD1031,2026-07-08,32096.25
ORD1032,2026-07-03,33598.0
ORD1034,2026-07-13,34382.69
ORD1035,2026-07-11,5004.23
ORD1036,2026-07-18,32355.47
ORD1037,2026-07-14,40472.22
ORD1039,2026-07-29,7749.88
ORD1040,2026-07-11,14156.72
ORD1041,2026-07-11,41644.44
ORD1042,2026-07-27,14917.14
ORD1043,2026-07-27,2030.65
ORD1044,2026-07-12,37401.76
ORD1045,2026-07-14,35983.71
ORD1046,2026-07-25,29899.85
ORD1047,2026-07-15,22830.2
ORD1048,2026-07-18,18207.86
ORD1049,2026-07-09,28740.82
ORD1050,2026-07-15,678.35
ORD1051,2026-07-07,39763.87
ORD1052,2026-07-03,43629.09
ORD1053,2026-07-20,33816.75
ORD1054,2026-07-23,2042.54
ORD1055,2026-07-11,7713.39
ORD1056,2026-07-07,21343.07
ORD1057,2026-07-18,7461.81
ORD1058,2026-07-15,27152.52
ORD1059,2026-07-17,32680.81
ORD1060,2026-07-28,30428.31
ORD1061,2026-07-10,10978.42
ORD1062,2026-07-14,23358.31
ORD1063,2026-07-13,33944.04
ORD1064,2026-07-08,4720.87
ORD1066,2026-07-24,13261.34
ORD1067,2026-07-02,25664.05
ORD1068,2026-07-26,16220.37
ORD1069,2026-07-07,30868.17
ORD1070,2026-07-17,2936.38
ORD1071,2026-07-06,27016.51
ORD1072,2026-07-13,41542.83
ORD1073,2026-07-19,7181.49
ORD1074,2026-07-03,8162.85
ORD1075,2026-07-21,11650.64
ORD1076,2026-07-15,5459.96
ORD1077,2026-07-25,37297.69
ORD1078,2026-07-21,24839.6
ORD1079,2026-07-25,15529.58
ORD1080,2026-07-05,41061.71
ORD1081,2026-07-21,4958.65
ORD1082,2026-07-08,19777.17
ORD1083,2026-07-22,32922.96
ORD1084,2026-07-06,32661.42
ORD1085,2026-07-27,41564.02
ORD1086,2026-07-27,41024.68
ORD1087,2026-07-22,30427.17
ORD1088,2026-07-27,9578.91
ORD1089,2026-07-25,21862.55
ORD1090,2026-07-04,25046.95
ORD1091,2026-07-08,18953.01
ORD1092,2026-07-05,35349.32
ORD1093,2026-07-23,28407.59
ORD1094,2026-07-15,36701.81
ORD1095,2026-07-28,6370.21
ORD1098,2026-07-11,41849.88
ORD1099,2026-07-30,43519.65
ORD1100,2026-07-26,5881.97
ORD1101,2026-07-18,17548.36
ORD1102,2026-07-09,37004.35
ORD1103,2026-07-11,22185.78
ORD1104,2026-07-06,8790.07
ORD1106,2026-07-09,24722.75
ORD1107,2026-07-12,32103.68
ORD1108,2026-07-03,18897.43
ORD1109,2026-07-05,4137.53
ORD1110,2026-07-26,11030.47
ORD1111,2026-07-06,32386.16
ORD1112,2026-07-28,24691.81
ORD1113,2026-07-13,1586.44
ORD1114,2026-07-15,15089.67
ORD1115,2026-07-23,30383.93
ORD1116,2026-07-06,2365.96
ORD1117,2026-08-05,9591.38
