order_id,true_cause,ledger_amount,settlement_net,bank_credit,refund_amount
ORD1000,clean,21730.88,21296.26,21296.26,0.0
ORD1001,clean,39730.26,38935.65,38935.65,0.0
ORD1002,clean,17363.66,17016.39,17016.39,0.0
ORD1003,clean,15489.7,15179.91,15179.91,0.0
ORD1004,rounding,30184.23,29580.55,29580.25,0.0
ORD1005,clean,28982.87,28403.21,28403.21,0.0
ORD1006,clean,38792.49,38016.64,38016.64,0.0
ORD1007,tds_deduction,5498.78,5387.7,5387.7,0.0
ORD1008,timing_lag,23733.46,23258.79,23258.79,0.0
ORD1009,refund_partial,33811.67,33135.44,19081.07,14054.37
ORD1010,clean,28081.27,27519.64,27519.64,0.0
ORD1011,clean,1417.49,1389.14,1389.14,0.0
ORD1012,fee_variance,26332.74,25674.42,25674.42,0.0
ORD1013,clean,43701.07,42827.05,42827.05,0.0
ORD1014,missing_settlement,4954.96,,,0.0
ORD1015,clean,8165.26,8001.95,8001.95,0.0
ORD1016,clean,39565.34,38774.03,38774.03,0.0
ORD1017,tds_deduction,25503.79,24988.61,24988.61,0.0
ORD1018,clean,9738.71,9543.94,9543.94,0.0
ORD1019,tds_deduction,37286.61,36533.42,36533.42,0.0
ORD1020,duplicate_entry,8041.93,7881.09,7881.09,0.0
ORD1021,clean,23781.28,23305.65,23305.65,0.0
ORD1022,refund_partial,22488.51,22038.74,12609.53,9429.21
ORD1023,timing_lag,12753.2,12498.14,12498.14,0.0
ORD1024,rounding,7886.3,7728.57,7728.07,0.0
ORD1025,clean,15736.34,15421.61,15421.61,0.0
ORD1026,clean,37783.61,37027.94,37027.94,0.0
ORD1027,clean,36338.27,35611.5,35611.5,0.0
ORD1028,clean,12639.66,12386.87,12386.87,0.0
ORD1029,clean,41386.91,40559.17,40559.17,0.0
ORD1030,refund_partial,43218.21,42353.85,21288.33,21065.52
ORD1031,timing_lag,32751.28,32096.25,32096.25,0.0
ORD1032,clean,34283.67,33598.0,33598.0,0.0
ORD1033,missing_settlement,39253.81,,,0.0
ORD1034,fee_variance,34906.28,34382.69,34382.69,0.0
ORD1035,refund_partial,8491.11,8321.29,5004.23,3317.06
ORD1036,clean,33015.79,32355.47,32355.47,0.0
ORD1037,clean,41298.18,40472.22,40472.22,0.0
ORD1038,missing_settlement,20251.28,,,0.0
ORD1039,clean,7908.04,7749.88,7749.88,0.0
ORD1040,rounding,14446.14,14157.22,14156.72,0.0
ORD1041,fee_variance,42712.25,41644.44,41644.44,0.0
ORD1042,refund_partial,25242.12,24737.28,14917.14,9820.14
ORD1043,refund_partial,3717.38,3643.03,2030.65,1612.38
ORD1044,tds_deduction,38172.85,37401.76,37401.76,0.0
ORD1045,clean,36718.07,35983.71,35983.71,0.0
ORD1046,clean,30510.05,29899.85,29899.85,0.0
