order_id,settlement_date,gross_amount,fee,tds,net_amount
ORD1000,2026-07-28,21730.88,434.62,0.0,21296.26
ORD1001,2026-07-15,39730.26,794.61,0.0,38935.65
ORD1002,2026-07-11,17363.66,347.27,0.0,17016.39
ORD1003,2026-07-15,15489.7,309.79,0.0,15179.91
ORD1004,2026-07-02,30184.23,603.68,0.0,29580.55
ORD1005,2026-07-27,28982.87,579.66,0.0,28403.21
ORD1006,2026-07-16,38792.49,775.85,0.0,38016.64
ORD1007,2026-07-02,5498.78,109.98,1.1,5387.7
ORD1008,2026-07-03,23733.46,474.67,0.0,23258.79
ORD1009,2026-07-11,33811.67,676.23,0.0,33135.44
ORD1010,2026-07-22,28081.27,561.63,0.0,27519.64
ORD1011,2026-07-26,1417.49,28.35,0.0,1389.14
ORD1012,2026-07-05,26332.74,658.32,0.0,25674.42
ORD1013,2026-07-13,43701.07,874.02,0.0,42827.05
ORD1015,2026-07-28,8165.26,163.31,0.0,8001.95
ORD1016,2026-07-07,39565.34,791.31,0.0,38774.03
ORD1017,2026-07-16,25503.79,510.08,5.1,24988.61
ORD1018,2026-07-11,9738.71,194.77,0.0,9543.94
ORD1019,2026-07-08,37286.61,745.73,7.46,36533.42
ORD1020,2026-07-23,8041.93,160.84,0.0,7881.09
ORD1021,2026-07-17,23781.28,475.63,0.0,23305.65
ORD1022,2026-07-27,22488.51,449.77,0.0,22038.74
ORD1023,2026-07-20,12753.2,255.06,0.0,12498.14
ORD1024,2026-07-11,7886.3,157.73,0.0,7728.57
ORD1025,2026-07-04,15736.34,314.73,0.0,15421.61
ORD1026,2026-07-08,37783.61,755.67,0.0,37027.94
ORD1027,2026-07-10,36338.27,726.77,0.0,35611.5
ORD1028,2026-07-07,12639.66,252.79,0.0,12386.87
ORD1029,2026-07-20,41386.91,827.74,0.0,40559.17
ORD1030,2026-07-22,43218.21,864.36,0.0,42353.85
ORD1031,2026-07-05,32751.28,655.03,0.0,32096.25
ORD1032,2026-07-03,34283.67,685.67,0.0,33598.0
ORD1034,2026-07-13,34906.28,523.59,0.0,34382.69
ORD1035,2026-07-11,8491.11,169.82,0.0,8321.29
ORD1036,2026-07-18,33015.79,660.32,0.0,32355.47
ORD1037,2026-07-14,41298.18,825.96,0.0,40472.22
ORD1039,2026-07-29,7908.04,158.16,0.0,7749.88
ORD1040,2026-07-11,14446.14,288.92,0.0,14157.22
ORD1041,2026-07-11,42712.25,1067.81,0.0,41644.44
ORD1042,2026-07-27,25242.12,504.84,0.0,24737.28
ORD1043,2026-07-27,3717.38,74.35,0.0,3643.03
ORD1044,2026-07-12,38172.85,763.46,7.63,37401.76
ORD1045,2026-07-14,36718.07,734.36,0.0,35983.71
ORD1046,2026-07-25,30510.05,610.2,0.0,29899.85
ORD1047,2026-07-15,23296.12,465.92,0.0,22830.2
ORD1048,2026-07-18,18579.45,371.59,0.0,18207.86
ORD1049,2026-07-09,29327.37,586.55,0.0,28740.82
ORD1050,2026-07-15,692.19,13.84,0.0,678.35
ORD1051,2026-07-07,40575.38,811.51,0.0,39763.87
ORD1052,2026-07-03,44519.48,890.39,0.0,43629.09
ORD1053,2026-07-20,34506.89,690.14,0.0,33816.75
ORD1054,2026-07-23,2084.22,41.68,0.0,2042.54
ORD1055,2026-07-05,7870.81,157.42,0.0,7713.39
ORD1056,2026-07-07,21778.64,435.57,0.0,21343.07
ORD1057,2026-07-18,7614.6,152.29,0.0,7462.31
ORD1058,2026-07-15,27706.65,554.13,0.0,27152.52
ORD1059,2026-07-17,33347.77,666.96,0.0,32680.81
ORD1060,2026-07-28,31049.3,620.99,0.0,30428.31
ORD1061,2026-07-10,11202.47,224.05,0.0,10978.42
ORD1062,2026-07-14,23834.6,476.69,0.0,23357.91
ORD1063,2026-07-13,34636.78,692.74,0.0,33944.04
ORD1064,2026-07-08,4818.19,96.36,0.96,4720.87
ORD1066,2026-07-24,13531.98,270.64,0.0,13261.34
ORD1067,2026-07-02,26187.81,523.76,0.0,25664.05
ORD1068,2026-07-26,16722.03,501.66,0.0,16220.37
ORD1069,2026-07-07,31498.44,629.97,0.0,30868.47
ORD1070,2026-07-17,2981.1,44.72,0.0,2936.38
ORD1071,2026-07-06,27567.87,551.36,0.0,27016.51
ORD1072,2026-07-13,42390.64,847.81,0.0,41542.83
ORD1073,2026-07-19,7328.05,146.56,0.0,7181.49
ORD1074,2026-07-03,8329.44,166.59,0.0,8162.85
ORD1075,2026-07-21,11888.41,237.77,0.0,11650.64
ORD1076,2026-07-15,5571.39,111.43,0.0,5459.96
ORD1077,2026-07-25,38058.87,761.18,0.0,37297.69
ORD1078,2026-07-16,25346.53,506.93,0.0,24839.6
ORD1079,2026-07-25,15846.82,316.94,0.0,15529.88
ORD1080,2026-07-05,41899.3,837.99,0.0,41061.31
ORD1081,2026-07-21,5059.85,101.2,0.0,4958.65
ORD1082,2026-07-08,20180.79,403.62,0.0,19777.17
ORD1083,2026-07-22,33594.86,671.9,0.0,32922.96
ORD1084,2026-07-06,33327.98,666.56,0.0,32661.42
ORD1085,2026-07-27,42412.27,848.25,0.0,41564.02
