order_id,settlement_date,gross_amount,fee,tds,net_amount
ORD-00001,2026-08-03,799.0,15.98,0.0,783.02
ORD-00002,2026-08-04,1499.0,29.98,0.0,1469.02
ORD-00003,2026-08-05,1200.0,25.2,0.0,1174.8
ORD-00005,2026-08-07,4999.0,99.98,0.0,4899.02
ORD-00006,2026-08-08,299.0,9.98,0.0,489.02
ORD-00007,2026-08-09,1200.0,24.0,0.0,1176.0
ORD-00008,2026-08-11,4999.0,99.98,0.0,4899.02
ORD-00009,2026-08-12,499.0,9.98,0.0,484.03
ORD-00010,2026-08-13,1200.0,24.0,0.0,1176.0
ORD-00011,2026-08-13,4999.0,99.98,0.0,4899.02
ORD-00012,2026-08-02,1200.0,24.0,0.0,1176.0
ORD-00013,2026-08-03,7999.0,167.98,0.0,7831.02
ORD-00015,2026-08-05,2499.0,49.98,0.0,2449.02
ORD-00016,2026-08-06,649.0,19.98,0.0,979.02
ORD-00017,2026-08-07,799.0,15.98,0.0,783.02
ORD-00018,2026-08-08,2499.0,49.98,0.0,2449.02
ORD-00019,2026-08-09,1999.0,39.98,0.0,1939.03
ORD-00020,2026-08-10,7999.0,159.98,0.0,7839.02
ORD-00021,2026-08-12,499.0,9.98,0.0,489.02
ORD-00022,2026-08-13,3499.0,69.98,0.0,3429.02
ORD-00023,2026-08-13,799.0,16.78,0.0,782.22
ORD-00025,2026-08-04,1499.0,29.98,0.0,1469.02
ORD-00026,2026-08-04,7499.0,159.98,0.0,7839.02
ORD-00027,2026-08-05,799.0,15.98,0.0,783.02
ORD-00028,2026-08-06,1200.0,24.0,0.0,1176.0
ORD-00029,2026-08-07,799.0,15.98,0.0,775.03
ORD-00030,2026-08-08,799.0,15.98,0.0,783.02
ORD-00031,2026-08-09,1499.0,29.98,0.0,1469.02
ORD-00032,2026-08-10,1999.0,39.98,0.0,1959.02
ORD-00033,2026-08-11,1999.0,41.98,0.0,1957.02
ORD-00035,2026-08-14,1499.0,29.98,0.0,1469.02
ORD-00036,2026-08-03,7799.0,159.98,0.0,7839.02
ORD-00037,2026-08-04,4999.0,99.98,0.0,4899.02
ORD-00038,2026-08-04,1200.0,24.0,0.0,1176.0
ORD-00039,2026-08-05,3499.0,69.98,0.0,3394.03
ORD-00040,2026-08-07,1499.0,29.98,0.0,1469.02
ORD-00041,2026-08-07,4999.0,99.98,0.0,4899.02
ORD-00042,2026-08-08,1999.0,39.98,0.0,1959.02
ORD-00043,2026-08-09,1200.0,25.2,0.0,1174.8
ORD-00045,2026-08-11,1499.0,29.98,0.0,1469.02
ORD-00046,2026-08-13,7649.0,159.98,0.0,7839.02
ORD-00047,2026-08-14,1200.0,24.0,0.0,1176.0
ORD-00048,2026-08-02,3499.0,69.98,0.0,3429.02
ORD-00049,2026-08-03,3499.0,69.98,0.0,3394.03
ORD-00050,2026-08-04,1499.0,29.98,0.0,1469.02
ORD-00051,2026-08-06,1200.0,24.0,0.0,1176.0
ORD-00052,2026-08-07,4999.0,99.98,0.0,4899.02
ORD-00053,2026-08-08,1499.0,31.48,0.0,1467.52
ORD-00055,2026-08-09,7999.0,159.98,0.0,7839.02
ORD-00056,2026-08-10,700.0,24.0,0.0,1176.0
ORD-00057,2026-08-11,3499.0,69.98,0.0,3429.02
ORD-00058,2026-08-12,499.0,9.98,0.0,489.02
ORD-00059,2026-08-14,999.0,19.98,0.0,969.03
ORD-00060,2026-08-03,999.0,19.98,0.0,979.02
ORD-00061,2026-08-04,2499.0,49.98,0.0,2449.02
ORD-00062,2026-08-04,799.0,15.98,0.0,783.02
ORD-00063,2026-08-06,2499.0,52.48,0.0,2446.52
ORD-00065,2026-08-08,1499.0,29.98,0.0,1469.02
ORD-00066,2026-08-09,299.0,15.98,0.0,783.02
ORD-00067,2026-08-10,1499.0,29.98,0.0,1469.02
ORD-00068,2026-08-10,1999.0,39.98,0.0,1959.02
ORD-00069,2026-08-11,1499.0,29.98,0.0,1454.03
ORD-00070,2026-08-12,999.0,19.98,0.0,979.02
ORD-00071,2026-08-14,499.0,9.98,0.0,489.02
ORD-00072,2026-08-03,1499.0,29.98,0.0,1469.02
ORD-00073,2026-08-04,999.0,20.98,0.0,978.02
ORD-00075,2026-08-06,1499.0,29.98,0.0,1469.02
ORD-00076,2026-08-06,799.0,19.98,0.0,979.02
ORD-00077,2026-08-08,4999.0,99.98,0.0,4899.02
ORD-00078,2026-08-09,499.0,9.98,0.0,489.02
ORD-00079,2026-08-09,1999.0,39.98,0.0,1939.03
ORD-00080,2026-08-10,499.0,9.98,0.0,489.02
ORD-00081,2026-08-11,1999.0,39.98,0.0,1959.02
ORD-00082,2026-08-12,1200.0,24.0,0.0,1176.0
ORD-00083,2026-08-14,1200.0,25.2,0.0,1174.8
ORD-00085,2026-08-03,3499.0,69.98,0.0,3429.02
ORD-00086,2026-08-05,649.0,19.98,0.0,979.02
ORD-00087,2026-08-05,4999.0,99.98,0.0,4899.02
ORD-00088,2026-08-07,1499.0,29.98,0.0,1469.02
ORD-00089,2026-08-07,7999.0,159.98,0.0,7759.03
ORD-00090,2026-08-09,1200.0,24.0,0.0,1176.0
ORD-00091,2026-08-10,1200.0,24.0,0.0,1176.0
ORD-00092,2026-08-10,1499.0,29.98,0.0,1469.02
ORD-00093,2026-08-11,1999.0,41.98,0.0,1957.02
ORD-00095,2026-08-13,799.0,15.98,0.0,783.02
ORD-00096,2026-08-02,599.0,15.98,0.0,783.02
ORD-00097,2026-08-04,7999.0,159.98,0.0,7839.02
ORD-00098,2026-08-05,1200.0,24.0,0.0,1176.0
ORD-00099,2026-08-05,1200.0,24.0,0.0,1164.0
ORD-00100,2026-08-07,799.0,15.98,0.0,783.02
