reference,credit_date,credit_amount
ORD1000,2026-07-08,40312.47
ORD1001,2026-07-14,39071.03
ORD1002,2026-07-11,6579.28
ORD1003,2026-07-26,25983.8
ORD1004,2026-07-10,43983.38
ORD1004,2026-07-10,43983.38
ORD1005,2026-07-04,33449.66
ORD1007,2026-07-15,26476.7
ORD1008,2026-07-24,38028.61
ORD1009,2026-07-27,28442.34
ORD1010,2026-07-16,7387.26
ORD1011,2026-07-18,33547.14
ORD1012,2026-07-28,28354.59
ORD1013,2026-07-13,33743.1
ORD1014,2026-07-21,14626.84
ORD1015,2026-07-28,35666.17
ORD1016,2026-07-09,38780.0
ORD1017,2026-07-25,21679.62
ORD1019,2026-07-29,26943.56
ORD1021,2026-07-16,5767.0
ORD1022,2026-07-12,1407.3
ORD1023,2026-07-02,3586.01
ORD1025,2026-07-04,39975.37
ORD1026,2026-07-18,10869.39
ORD1027,2026-07-19,6260.12
ORD1029,2026-07-06,29228.84
ORD1031,2026-07-14,32247.39
ORD1031,2026-07-14,32247.39
ORD1032,2026-07-08,8783.22
ORD1034,2026-07-15,8491.92
ORD1035,2026-07-29,40745.29
ORD1037,2026-07-27,37502.22
ORD1039,2026-07-15,583.87
ORD1040,2026-07-28,34729.49
ORD1040,2026-07-28,34729.49
ORD1041,2026-07-24,42238.63
ORD1042,2026-07-08,13429.43
ORD1043,2026-07-26,14166.3
ORD1044,2026-07-18,40584.48
ORD1045,2026-07-03,42389.57
ORD1046,2026-07-05,26439.48
ORD1047,2026-07-05,41553.01
ORD1048,2026-07-22,4065.69
ORD1049,2026-07-08,29696.75
ORD1050,2026-07-11,17750.22
ORD1051,2026-07-12,41004.49
ORD1052,2026-07-16,27578.76
ORD1053,2026-07-19,4175.5
ORD1054,2026-07-05,38834.68
ORD1055,2026-07-16,36850.02
ORD1056,2026-07-24,5007.41
ORD1057,2026-07-06,39290.38
ORD1057,2026-07-06,39290.38
ORD1058,2026-07-11,26866.63
ORD1059,2026-07-24,28149.12
ORD1061,2026-07-10,39972.32
ORD1062,2026-07-29,12553.46
ORD1063,2026-07-26,6195.04
ORD1066,2026-07-29,16591.51
ORD1067,2026-07-06,2314.15
ORD1068,2026-07-13,9651.44
ORD1069,2026-07-13,34510.87
BATCH20260700,2026-07-28,66102.99
