order_id,true_cause,ledger_amount,settlement_net,bank_credit,refund_amount,settlement_batch_id
ORD1000,rounding,41134.56,40311.87,40312.47,0.0,
ORD1001,clean,39868.4,39071.03,39071.03,0.0,
ORD1002,clean,6713.55,6579.28,6579.28,0.0,
ORD1003,clean,26514.08,25983.8,25983.8,0.0,
ORD1004,duplicate_credit,44881.0,43983.38,43983.38,0.0,
ORD1005,duplicate_entry,34132.31,33449.66,33449.66,0.0,
ORD1006,aged_missing_bank,7619.2,7466.82,,0.0,
ORD1007,clean,27017.04,26476.7,26476.7,0.0,
ORD1008,timing_lag,38804.7,38028.61,38028.61,0.0,
ORD1009,clean,29022.8,28442.34,28442.34,0.0,
ORD1010,clean,7538.02,7387.26,7387.26,0.0,
ORD1011,fee_variance,34407.32,33547.14,33547.14,0.0,
ORD1012,clean,28933.25,28354.59,28354.59,0.0,
ORD1013,clean,34431.73,33743.1,33743.1,0.0,
ORD1014,rounding,14924.94,14626.44,14626.84,0.0,
ORD1015,tds_deduction,36401.48,35666.17,35666.17,0.0,
ORD1016,clean,39571.43,38780.0,38780.0,0.0,
ORD1017,tds_deduction,22126.58,21679.62,21679.62,0.0,
ORD1018,pending_bank,29858.91,29261.73,,0.0,
ORD1019,clean,27493.43,26943.56,26943.56,0.0,
ORD1020,pending_bank,14371.37,14083.94,,0.0,
ORD1021,duplicate_entry,5884.69,5767.0,5767.0,0.0,
ORD1022,clean,1436.02,1407.3,1407.3,0.0,
ORD1023,clean,3659.19,3586.01,3586.01,0.0,
ORD1025,clean,40791.19,39975.37,39975.37,0.0,
ORD1026,clean,11091.21,10869.39,10869.39,0.0,
ORD1027,clean,6387.88,6260.12,6260.12,0.0,
ORD1028,pending_bank,21547.3,21116.35,,0.0,
ORD1029,rounding,29824.73,29228.24,29228.84,0.0,
ORD1030,pending_bank,38940.74,38161.93,,0.0,
ORD1031,duplicate_credit,32905.5,32247.39,32247.39,0.0,
ORD1032,tds_deduction,8964.3,8783.22,8783.22,0.0,
ORD1034,clean,8665.22,8491.92,8491.92,0.0,
ORD1035,tds_deduction,41585.32,40745.29,40745.29,0.0,
ORD1036,pending_bank,29520.45,28930.04,,0.0,
ORD1037,rounding,38266.96,37501.62,37502.22,0.0,
ORD1038,aged_missing_bank,10011.75,9811.51,,0.0,
ORD1039,tds_deduction,595.91,583.87,583.87,0.0,
ORD1040,duplicate_credit,35438.26,34729.49,34729.49,0.0,
ORD1041,clean,43100.64,42238.63,42238.63,0.0,
ORD1042,clean,13703.5,13429.43,13429.43,0.0,
ORD1043,clean,14455.41,14166.3,14166.3,0.0,
ORD1044,clean,41412.73,40584.48,40584.48,0.0,
ORD1045,clean,43254.66,42389.57,42389.57,0.0,
ORD1046,clean,26979.06,26439.48,26439.48,0.0,
ORD1047,clean,42401.03,41553.01,41553.01,0.0,
ORD1048,rounding,4148.26,4065.29,4065.69,0.0,
ORD1049,clean,30302.81,29696.75,29696.75,0.0,
ORD1050,clean,18112.47,17750.22,17750.22,0.0,
ORD1051,clean,41841.32,41004.49,41004.49,0.0,
ORD1052,clean,28141.59,27578.76,27578.76,0.0,
ORD1053,refund_partial,9985.37,9785.66,4175.5,5610.16,
ORD1054,rounding,39627.53,38834.98,38834.68,0.0,
ORD1055,rounding,37601.65,36849.62,36850.02,0.0,
ORD1056,clean,5109.6,5007.41,5007.41,0.0,
ORD1057,duplicate_credit,40092.22,39290.38,39290.38,0.0,
ORD1058,clean,27414.93,26866.63,26866.63,0.0,
ORD1059,clean,28723.59,28149.12,28149.12,0.0,
ORD1061,rounding,40787.47,39971.72,39972.32,0.0,
ORD1062,tds_deduction,12812.27,12553.46,12553.46,0.0,
ORD1063,duplicate_entry,6321.47,6195.04,6195.04,0.0,
ORD1064,pending_bank,20161.68,19758.45,,0.0,
ORD1065,missing_settlement,42554.77,,,0.0,
ORD1066,clean,16930.11,16591.51,16591.51,0.0,
ORD1067,clean,2361.38,2314.15,2314.15,0.0,
ORD1068,clean,9848.41,9651.44,9651.44,0.0,
ORD1069,clean,35215.17,34510.87,34510.87,0.0,
ORD1033,batch_settlement,1602.99,1570.93,1570.93,0.0,BATCH20260700
ORD1060,batch_settlement,30310.87,29704.65,29704.65,0.0,BATCH20260700
ORD1024,batch_settlement,35538.17,34827.41,34827.41,0.0,BATCH20260700
