order_id,settlement_date,gross_amount,fee,tds,net_amount,settlement_batch_id
ORD1000,2026-07-08,41134.56,822.69,0.0,40311.87,
ORD1001,2026-07-14,39868.4,797.37,0.0,39071.03,
ORD1002,2026-07-11,6713.55,134.27,0.0,6579.28,
ORD1003,2026-07-26,26514.08,530.28,0.0,25983.8,
ORD1004,2026-07-10,44881.0,897.62,0.0,43983.38,
ORD1005,2026-07-04,34132.31,682.65,0.0,33449.66,
ORD1006,2026-07-22,7619.2,152.38,0.0,7466.82,
ORD1007,2026-07-15,27017.04,540.34,0.0,26476.7,
ORD1008,2026-07-19,38804.7,776.09,0.0,38028.61,
ORD1009,2026-07-27,29022.8,580.46,0.0,28442.34,
ORD1010,2026-07-16,7538.02,150.76,0.0,7387.26,
ORD1011,2026-07-18,34407.32,860.18,0.0,33547.14,
ORD1012,2026-07-28,28933.25,578.66,0.0,28354.59,
ORD1013,2026-07-13,34431.73,688.63,0.0,33743.1,
ORD1014,2026-07-21,14924.94,298.5,0.0,14626.44,
ORD1015,2026-07-28,36401.48,728.03,7.28,35666.17,
ORD1016,2026-07-09,39571.43,791.43,0.0,38780.0,
ORD1017,2026-07-25,22126.58,442.53,4.43,21679.62,
ORD1018,2026-08-01,29858.91,597.18,0.0,29261.73,
ORD1019,2026-07-29,27493.43,549.87,0.0,26943.56,
ORD1020,2026-08-01,14371.37,287.43,0.0,14083.94,
ORD1021,2026-07-16,5884.69,117.69,0.0,5767.0,
ORD1022,2026-07-12,1436.02,28.72,0.0,1407.3,
ORD1023,2026-07-02,3659.19,73.18,0.0,3586.01,
ORD1025,2026-07-04,40791.19,815.82,0.0,39975.37,
ORD1026,2026-07-18,11091.21,221.82,0.0,10869.39,
ORD1027,2026-07-19,6387.88,127.76,0.0,6260.12,
ORD1028,2026-08-05,21547.3,430.95,0.0,21116.35,
ORD1029,2026-07-06,29824.73,596.49,0.0,29228.24,
ORD1030,2026-08-05,38940.74,778.81,0.0,38161.93,
ORD1031,2026-07-14,32905.5,658.11,0.0,32247.39,
ORD1032,2026-07-08,8964.3,179.29,1.79,8783.22,
ORD1034,2026-07-15,8665.22,173.3,0.0,8491.92,
ORD1035,2026-07-29,41585.32,831.71,8.32,40745.29,
ORD1036,2026-08-05,29520.45,590.41,0.0,28930.04,
ORD1037,2026-07-27,38266.96,765.34,0.0,37501.62,
ORD1038,2026-07-26,10011.75,200.24,0.0,9811.51,
ORD1039,2026-07-15,595.91,11.92,0.12,583.87,
ORD1040,2026-07-28,35438.26,708.77,0.0,34729.49,
ORD1041,2026-07-24,43100.64,862.01,0.0,42238.63,
ORD1042,2026-07-08,13703.5,274.07,0.0,13429.43,
ORD1043,2026-07-26,14455.41,289.11,0.0,14166.3,
ORD1044,2026-07-18,41412.73,828.25,0.0,40584.48,
ORD1045,2026-07-03,43254.66,865.09,0.0,42389.57,
ORD1046,2026-07-05,26979.06,539.58,0.0,26439.48,
ORD1047,2026-07-05,42401.03,848.02,0.0,41553.01,
ORD1048,2026-07-22,4148.26,82.97,0.0,4065.29,
ORD1049,2026-07-08,30302.81,606.06,0.0,29696.75,
ORD1050,2026-07-11,18112.47,362.25,0.0,17750.22,
ORD1051,2026-07-12,41841.32,836.83,0.0,41004.49,
ORD1052,2026-07-16,28141.59,562.83,0.0,27578.76,
ORD1053,2026-07-19,9985.37,199.71,0.0,9785.66,
ORD1054,2026-07-05,39627.53,792.55,0.0,38834.98,
ORD1055,2026-07-16,37601.65,752.03,0.0,36849.62,
ORD1056,2026-07-24,5109.6,102.19,0.0,5007.41,
ORD1057,2026-07-06,40092.22,801.84,0.0,39290.38,
ORD1058,2026-07-11,27414.93,548.3,0.0,26866.63,
ORD1059,2026-07-24,28723.59,574.47,0.0,28149.12,
ORD1061,2026-07-10,40787.47,815.75,0.0,39971.72,
ORD1062,2026-07-29,12812.27,256.25,2.56,12553.46,
ORD1063,2026-07-26,6321.47,126.43,0.0,6195.04,
ORD1064,2026-08-05,20161.68,403.23,0.0,19758.45,
ORD1066,2026-07-29,16930.11,338.6,0.0,16591.51,
ORD1067,2026-07-06,2361.38,47.23,0.0,2314.15,
ORD1068,2026-07-13,9848.41,196.97,0.0,9651.44,
ORD1069,2026-07-13,35215.17,704.3,0.0,34510.87,
ORD1033,2026-07-16,1602.99,32.06,0.0,1570.93,BATCH20260700
ORD1060,2026-07-28,30310.87,606.22,0.0,29704.65,BATCH20260700
ORD1024,2026-07-08,35538.17,710.76,0.0,34827.41,BATCH20260700
