reference,credit_date,credit_amount
ORD1000,2026-07-08,27118.34
ORD1001,2026-07-27,17537.87
ORD1002,2026-07-03,4490.86
ORD1003,2026-07-21,42543.67
ORD1004,2026-07-25,3452.51
ORD1005,2026-07-04,32307.78
ORD1006,2026-07-04,16255.05
ORD1007,2026-08-01,22019.95
ORD1008,2026-07-08,39734.47
ORD1009,2026-07-15,18324.01
ORD1010,2026-07-26,38782.42
ORD1011,2026-07-13,36786.01
ORD1012,2026-07-28,34701.97
ORD1013,2026-07-28,15786.34
ORD1013,2026-07-28,15786.34
ORD1014,2026-07-21,917.61
ORD1015,2026-07-05,7381.93
ORD1016,2026-07-07,2480.56
ORD1017,2026-07-29,23368.01
ORD1018,2026-07-20,25811.25
ORD1019,2026-07-03,12191.73
ORD1020,2026-07-13,15741.73
ORD1021,2026-07-25,11464.28
ORD1022,2026-07-18,29411.44
ORD1022,2026-07-18,29411.44
ORD1023,2026-07-11,33668.37
ORD1024,2026-07-23,8947.25
ORD1025,2026-07-30,16422.89
ORD1026,2026-07-30,818.79
ORD1027,2026-07-28,16597.24
ORD1028,2026-07-17,19606.2
ORD1029,2026-07-16,24454.46
ORD1030,2026-07-05,21634.78
ORD1031,2026-07-15,19689.99
ORD1032,2026-07-05,12155.89
ORD1033,2026-07-12,24684.3
ORD1034,2026-07-17,32945.51
ORD1035,2026-07-03,41644.48
ORD1036,2026-07-10,23229.78
ORD1037,2026-07-09,4916.41
ORD1038,2026-07-16,40789.74
ORD1039,2026-07-04,35853.68
ORD1040,2026-07-10,29400.57
ORD1041,2026-07-06,31168.49
ORD1042,2026-07-10,8338.61
ORD1043,2026-07-22,21000.54
ORD1044,2026-07-23,26870.93
ORD1045,2026-07-14,35355.23
ORD1046,2026-07-26,39857.59
ORD1047,2026-07-22,20484.49
ORD1047,2026-07-22,20484.49
ORD1048,2026-07-09,37562.16
ORD1049,2026-07-28,8842.66
ORD1050,2026-07-04,11822.27
ORD1051,2026-07-18,10655.53
ORD1052,2026-07-18,37701.02
ORD1053,2026-07-22,40000.7
ORD1054,2026-07-12,44081.76
ORD1055,2026-07-15,43006.99
ORD1056,2026-07-08,15455.4
ORD1057,2026-07-26,7556.64
ORD1058,2026-07-22,35889.41
ORD1059,2026-07-19,24257.89
ORD1060,2026-07-10,25003.32
ORD1060,2026-07-10,25003.32
ORD1061,2026-07-06,40191.16
ORD1062,2026-07-20,14498.04
ORD1063,2026-07-16,7754.97
ORD1064,2026-07-21,29047.48
ORD1065,2026-07-05,2739.87
ORD1066,2026-07-11,3566.01
ORD1066,2026-07-11,3566.01
ORD1067,2026-07-16,1760.06
ORD1068,2026-07-27,31265.07
ORD1069,2026-07-17,29184.76
ORD1070,2026-07-16,3805.3
ORD1071,2026-07-07,37971.04
ORD1072,2026-07-13,42185.72
ORD1073,2026-07-24,17431.08
ORD1074,2026-07-28,40616.47
ORD1074,2026-07-28,40616.47
ORD1075,2026-07-13,30054.88
ORD1076,2026-07-13,34753.98
ORD1077,2026-07-05,42255.61
ORD1078,2026-07-15,42424.98
ORD1079,2026-07-26,31375.42
ORD1080,2026-07-26,16403.6
ORD1081,2026-07-10,5422.16
ORD1082,2026-07-15,27353.0
ORD1083,2026-07-21,20294.24
ORD1084,2026-07-14,31210.43
ORD1085,2026-07-07,35873.78
ORD1086,2026-07-14,16612.9
ORD1087,2026-07-23,11330.21
ORD1087,2026-07-23,11330.21
ORD1088,2026-07-26,37570.81
ORD1089,2026-07-28,3312.92
ORD1090,2026-07-09,39409.75
ORD1092,2026-07-04,30837.6
ORD1092,2026-07-04,30837.6
ORD1093,2026-07-09,8101.49
ORD1093,2026-07-09,8101.49
ORD1094,2026-07-02,5471.47
ORD1095,2026-07-07,20981.06
ORD1096,2026-07-13,13214.07
ORD1098,2026-07-07,6293.17
ORD1099,2026-07-11,6236.27
ORD1100,2026-07-18,21937.03
ORD1101,2026-07-27,7202.51
ORD1102,2026-07-12,31758.83
ORD1103,2026-07-30,3636.69
ORD1104,2026-07-21,7165.99
ORD1105,2026-07-22,4559.79
ORD1106,2026-07-06,1063.4
ORD1107,2026-07-29,28137.02
ORD1108,2026-07-19,18957.8
ORD1109,2026-07-25,2994.53
ORD1110,2026-07-18,5786.09
ORD1111,2026-07-08,43499.98
ORD1112,2026-07-10,10359.44
ORD1113,2026-07-12,23289.32
ORD1114,2026-07-27,27052.22
ORD1115,2026-07-03,14664.57
ORD1117,2026-07-03,9112.04
ORD1118,2026-07-24,31728.81
ORD1118,2026-07-24,31728.81
ORD1119,2026-07-27,3758.09
ORD1120,2026-07-15,21576.64
ORD1121,2026-07-17,14368.47
ORD1122,2026-07-27,31242.27
ORD1123,2026-07-26,40932.93
ORD1124,2026-07-06,34032.56
ORD1125,2026-07-06,2120.02
ORD1126,2026-07-17,30321.84
ORD1127,2026-07-24,3479.03
ORD1128,2026-07-18,4227.41
ORD1129,2026-07-24,42509.23
ORD1130,2026-07-11,40167.04
ORD1131,2026-07-25,3570.58
ORD1132,2026-07-08,10941.34
ORD1133,2026-07-24,15231.59
ORD1134,2026-07-16,42868.0
ORD1135,2026-07-11,41612.26
ORD1135,2026-07-11,41612.26
ORD1136,2026-07-10,41767.9
ORD1137,2026-07-24,9293.37
ORD1138,2026-07-18,5156.28
ORD1139,2026-07-28,11301.93
ORD1140,2026-07-29,43688.7
ORD1141,2026-07-12,8026.27
ORD1142,2026-07-23,18737.25
ORD1142,2026-07-23,18737.25
ORD1143,2026-07-20,6816.42
ORD1144,2026-07-18,10429.7
ORD1145,2026-07-18,16828.45
ORD1146,2026-07-11,5297.65
ORD1147,2026-07-23,18395.05
ORD1148,2026-07-26,7965.79
ORD1149,2026-07-11,22493.38
ORD1150,2026-07-15,37109.42
ORD1150,2026-07-15,37109.42
ORD1151,2026-07-20,31594.96
ORD1152,2026-07-29,8019.63
ORD1153,2026-07-29,19981.55
ORD1154,2026-08-04,24378.23
ORD1155,2026-07-28,20628.74
ORD1156,2026-07-18,11363.92
ORD1157,2026-07-02,39871.6
ORD1158,2026-07-17,3571.21
ORD1159,2026-07-09,18198.99
ORD1160,2026-07-15,14003.95
ORD1160,2026-07-15,14003.95
ORD1161,2026-07-14,32487.73
ORD1162,2026-07-21,26110.33
ORD1163,2026-07-17,19946.0
ORD1164,2026-07-09,9579.24
ORD1165,2026-07-23,30838.4
ORD1166,2026-07-20,26257.88
ORD1167,2026-07-16,44044.45
ORD1168,2026-07-28,22957.73
ORD1169,2026-07-09,35112.27
ORD1170,2026-07-13,39002.42
ORD1171,2026-07-15,20332.88
ORD1172,2026-07-11,43734.83
ORD1172,2026-07-11,43734.83
ORD1173,2026-07-17,24338.92
ORD1174,2026-07-23,38486.15
ORD1174,2026-07-23,38486.15
ORD1175,2026-07-08,1254.75
ORD1176,2026-07-03,9534.45
ORD1177,2026-07-22,20655.4
ORD1178,2026-07-07,28011.02
ORD1179,2026-07-07,26748.11
ORD1180,2026-07-10,18818.01
ORD1181,2026-07-04,4517.7
ORD1182,2026-07-25,7704.37
ORD1183,2026-07-09,23022.1
ORD1184,2026-07-30,4790.57
ORD1185,2026-07-24,9902.67
ORD1187,2026-07-29,2370.09
ORD1188,2026-07-08,18046.63
ORD1189,2026-07-25,11179.58
ORD1190,2026-07-08,38399.2
ORD1191,2026-07-12,14010.78
ORD1192,2026-07-04,6706.55
ORD1193,2026-07-19,13404.39
ORD1194,2026-07-29,19666.8
ORD1196,2026-07-20,22687.03
ORD1196,2026-07-20,22687.03
ORD1197,2026-07-15,3686.12
ORD1198,2026-07-06,15928.7
ORD1199,2026-07-13,31233.38
ORD1200,2026-07-16,38183.91
ORD1201,2026-07-04,37528.99
ORD1203,2026-07-21,13495.49
ORD1204,2026-07-23,16444.34
ORD1205,2026-07-17,35424.08
ORD1206,2026-07-12,5523.36
ORD1207,2026-07-28,21406.26
ORD1208,2026-07-14,23231.23
ORD1209,2026-07-20,23689.2
ORD1210,2026-07-06,11895.97
ORD1211,2026-07-27,17397.92
ORD1212,2026-07-11,39358.22
ORD1213,2026-07-07,31906.41
ORD1214,2026-07-08,3084.2
ORD1215,2026-07-10,10052.54
ORD1216,2026-07-05,32474.42
ORD1217,2026-07-19,24512.0
ORD1219,2026-07-29,32340.62
ORD1220,2026-07-22,38558.36
ORD1221,2026-07-11,2151.38
ORD1221,2026-07-11,2151.38
ORD1222,2026-07-05,1654.59
ORD1223,2026-07-08,5160.14
ORD1224,2026-07-24,41535.33
ORD1225,2026-07-06,42743.91
ORD1226,2026-07-16,11536.98
ORD1227,2026-07-02,43877.29
ORD1228,2026-07-07,24514.51
ORD1229,2026-07-22,30169.45
ORD1230,2026-07-26,34981.81
ORD1232,2026-07-18,41629.77
ORD1233,2026-07-17,8123.75
ORD1233,2026-07-17,8123.75
ORD1234,2026-07-24,28668.02
ORD1234,2026-07-24,28668.02
ORD1235,2026-07-29,35294.41
ORD1236,2026-07-21,17084.65
ORD1237,2026-07-18,42159.41
ORD1238,2026-07-14,8813.53
ORD1239,2026-07-21,30338.51
ORD1240,2026-07-08,25505.16
ORD1241,2026-07-11,37927.35
ORD1242,2026-07-29,33500.53
ORD1244,2026-07-20,22626.47
ORD1245,2026-07-21,34378.5
ORD1246,2026-07-11,38517.19
ORD1248,2026-07-03,22027.07
ORD1250,2026-07-14,40608.73
ORD1251,2026-07-23,28534.34
ORD1252,2026-07-09,2510.47
ORD1253,2026-07-21,43589.12
ORD1254,2026-07-13,28263.45
ORD1255,2026-07-11,36029.09
ORD1256,2026-07-17,1604.99
ORD1257,2026-07-08,20749.34
ORD1258,2026-07-25,13180.52
ORD1259,2026-07-27,36018.8
ORD1260,2026-07-13,7652.39
ORD1261,2026-07-10,11869.88
ORD1262,2026-07-22,13657.57
ORD1263,2026-07-22,27730.44
ORD1264,2026-07-15,39926.91
ORD1265,2026-07-09,28949.12
ORD1266,2026-07-11,7489.31
ORD1267,2026-07-15,38877.62
ORD1268,2026-07-17,41187.93
ORD1269,2026-07-19,22185.29
ORD1270,2026-07-13,39131.86
ORD1271,2026-07-11,43299.95
ORD1272,2026-07-12,17193.29
ORD1273,2026-07-27,1740.03
ORD1275,2026-07-21,34417.42
ORD1276,2026-07-23,9162.09
ORD1277,2026-07-24,8794.25
ORD1278,2026-07-18,919.17
ORD1279,2026-07-27,36983.92
ORD1280,2026-07-09,30066.88
ORD1281,2026-07-09,43006.25
ORD1282,2026-07-26,30717.57
ORD1283,2026-07-24,14953.05
ORD1284,2026-07-07,40007.36
ORD1285,2026-07-06,12153.59
ORD1285,2026-07-06,12153.59
ORD1286,2026-07-23,32960.54
ORD1287,2026-07-28,30915.86
ORD1288,2026-07-28,32696.85
ORD1289,2026-07-13,15479.78
ORD1290,2026-07-15,27671.65
ORD1290,2026-07-15,27671.65
ORD1291,2026-07-14,32153.78
ORD1292,2026-07-13,11613.57
ORD1293,2026-07-07,7104.26
ORD1294,2026-07-08,13977.91
ORD1295,2026-07-15,20695.76
ORD1296,2026-07-09,18922.33
ORD1297,2026-07-09,39528.32
ORD1298,2026-07-27,4527.55
ORD1300,2026-07-24,43775.97
ORD1301,2026-07-18,10905.48
ORD1302,2026-07-04,11817.47
ORD1303,2026-07-13,28785.47
ORD1305,2026-07-24,4850.42
ORD1306,2026-07-05,31287.55
ORD1307,2026-07-20,1167.36
ORD1308,2026-07-27,3036.28
ORD1309,2026-07-18,2573.34
ORD1310,2026-07-08,7293.82
ORD1311,2026-07-16,4478.49
ORD1311,2026-07-16,4478.49
ORD1312,2026-07-24,10203.03
ORD1313,2026-07-09,18280.79
ORD1314,2026-07-18,15097.98
ORD1315,2026-07-03,17967.01
ORD1316,2026-07-06,4189.56
ORD1317,2026-07-11,40608.98
ORD1318,2026-07-18,30163.83
ORD1319,2026-07-24,40825.75
ORD1320,2026-07-04,41427.27
ORD1321,2026-07-04,21583.12
ORD1322,2026-07-24,8550.82
ORD1323,2026-07-05,35454.88
ORD1324,2026-07-10,25909.35
ORD1325,2026-07-13,30819.64
ORD1326,2026-07-07,43147.5
ORD1327,2026-07-03,2837.08
ORD1328,2026-07-22,40055.28
ORD1329,2026-07-05,28521.81
ORD1330,2026-07-04,38609.71
ORD1331,2026-07-20,14371.64
ORD1332,2026-07-12,23112.17
ORD1333,2026-07-06,16787.08
ORD1334,2026-07-21,12588.16
ORD1335,2026-07-18,1466.04
ORD1336,2026-07-03,23683.01
ORD1338,2026-07-19,21263.67
ORD1338,2026-07-19,21263.67
ORD1339,2026-07-19,13154.21
ORD1340,2026-07-28,11688.95
ORD1342,2026-07-16,16248.6
ORD1343,2026-07-28,19336.59
ORD1344,2026-07-11,24406.28
ORD1345,2026-07-16,1901.34
ORD1346,2026-07-28,35167.88
ORD1347,2026-07-06,31873.88
ORD1348,2026-07-06,16593.57
ORD1350,2026-07-30,42252.82
ORD1351,2026-07-06,14185.57
ORD1352,2026-07-14,12741.46
ORD1353,2026-07-04,37631.4
ORD1353,2026-07-04,37631.4
ORD1354,2026-07-15,8876.28
ORD1355,2026-07-06,39860.65
ORD1355,2026-07-06,39860.65
ORD1356,2026-07-22,43593.01
ORD1357,2026-07-15,8594.89
ORD1358,2026-07-05,33963.01
ORD1360,2026-07-21,29898.03
ORD1361,2026-07-05,9220.29
ORD1362,2026-07-20,26045.24
ORD1363,2026-07-21,14677.84
ORD1364,2026-07-06,10841.62
ORD1365,2026-07-15,40399.67
ORD1366,2026-07-05,14965.5
ORD1367,2026-07-23,37845.51
