order_id,true_cause,ledger_amount,settlement_net,bank_credit,refund_amount,settlement_batch_id
ORD1000,clean,31298.89,30672.91,30672.91,0.0,
ORD1001,clean,38825.29,38048.78,38048.78,0.0,
ORD1002,duplicate_entry,35310.06,34603.86,34603.86,0.0,
ORD1003,clean,34003.41,33323.34,33323.34,0.0,
ORD1004,tds_deduction,29404.8,28810.82,28810.82,0.0,
ORD1005,clean,44121.38,43238.95,43238.95,0.0,
ORD1006,clean,28294.77,27728.87,27728.87,0.0,
ORD1007,fee_variance,22682.15,22341.92,22341.92,0.0,
ORD1008,clean,19049.41,18668.42,18668.42,0.0,
ORD1009,timing_lag,37918.77,37160.39,37160.39,0.0,
ORD1010,clean,11805.51,11569.4,11569.4,0.0,
ORD1011,clean,11510.6,11280.39,11280.39,0.0,
ORD1012,timing_lag,13020.26,12759.85,12759.85,0.0,
ORD1013,pending_bank,11698.59,11464.62,,0.0,
ORD1014,clean,4974.14,4874.66,4874.66,0.0,
ORD1015,clean,699.9,685.9,685.9,0.0,
ORD1016,rounding,2296.1,2250.18,2249.68,0.0,
ORD1017,refund_partial,8936.01,8757.29,5701.92,3055.37,
ORD1018,tds_deduction,8410.28,8240.39,8240.39,0.0,
ORD1019,clean,28866.85,28289.51,28289.51,0.0,
ORD1021,clean,16907.53,16569.38,16569.38,0.0,
ORD1022,aged_missing_bank,44994.38,44094.49,,0.0,
ORD1023,clean,15062.59,14761.34,14761.34,0.0,
ORD1024,clean,14392.71,14104.86,14104.86,0.0,
ORD1025,clean,22555.32,22104.21,22104.21,0.0,
ORD1026,clean,5011.76,4911.52,4911.52,0.0,
ORD1027,pending_bank,24262.87,23777.61,,0.0,
ORD1028,clean,18735.61,18360.9,18360.9,0.0,
ORD1029,tds_deduction,42916.9,42049.98,42049.98,0.0,
ORD1030,rounding,19031.82,18651.18,18651.78,0.0,
ORD1031,clean,18521.32,18150.89,18150.89,0.0,
ORD1032,tds_deduction,19357.09,18966.08,18966.08,0.0,
ORD1033,clean,39786.29,38990.56,38990.56,0.0,
ORD1034,clean,1160.13,1136.93,1136.93,0.0,
ORD1035,clean,25992.47,25472.62,25472.62,0.0,
ORD1036,duplicate_entry,15983.55,15663.88,15663.88,0.0,
ORD1037,timing_lag,5341.28,5234.45,5234.45,0.0,
ORD1038,clean,37759.51,37004.32,37004.32,0.0,
ORD1039,tds_deduction,2875.17,2817.09,2817.09,0.0,
ORD1040,timing_lag,28105.26,27543.15,27543.15,0.0,
ORD1041,clean,38162.64,37399.39,37399.39,0.0,
ORD1042,missing_settlement,10207.09,,,0.0,
ORD1043,duplicate_entry,16484.74,16155.05,16155.05,0.0,
ORD1044,clean,36796.41,36060.48,36060.48,0.0,
ORD1045,tds_deduction,37990.58,37223.17,37223.17,0.0,
ORD1046,fee_variance,17847.73,17312.3,17312.3,0.0,
ORD1047,aged_missing_bank,26426.8,25898.26,,0.0,
ORD1048,duplicate_credit,22909.24,22451.06,22451.06,0.0,
ORD1049,clean,28040.69,27479.88,27479.88,0.0,
ORD1051,clean,20383.44,19975.77,19975.77,0.0,
ORD1052,timing_lag,21558.24,21127.08,21127.08,0.0,
ORD1053,missing_settlement,19661.66,,,0.0,
ORD1054,clean,23202.18,22738.14,22738.14,0.0,
ORD1055,fee_variance,6297.06,6221.5,6221.5,0.0,
ORD1056,clean,22924.62,22466.13,22466.13,0.0,
ORD1057,duplicate_entry,38639.62,37866.83,37866.83,0.0,
ORD1058,missing_settlement,44186.9,,,0.0,
ORD1059,tds_deduction,41263.83,40430.3,40430.3,0.0,
ORD1060,aged_missing_bank,37570.11,36818.71,,0.0,
ORD1061,clean,12737.17,12482.43,12482.43,0.0,
ORD1062,duplicate_entry,22848.7,22391.73,22391.73,0.0,
ORD1063,rounding,12197.61,11953.66,11954.06,0.0,
ORD1064,tds_deduction,2139.07,2095.86,2095.86,0.0,
ORD1065,timing_lag,28827.44,28250.89,28250.89,0.0,
ORD1066,pending_bank,35749.53,35034.54,,0.0,
ORD1067,refund_partial,2661.44,2608.21,1507.36,1100.85,
ORD1068,fee_variance,31148.43,30213.98,30213.98,0.0,
ORD1069,duplicate_entry,35996.34,35276.41,35276.41,0.0,
ORD1070,clean,26192.54,25668.69,25668.69,0.0,
ORD1071,duplicate_credit,4121.66,4039.23,4039.23,0.0,
ORD1072,rounding,33589.97,32918.17,32918.57,0.0,
ORD1074,pending_bank,28946.08,28367.16,,0.0,
ORD1075,clean,10362.87,10155.61,10155.61,0.0,
ORD1076,clean,23314.17,22847.89,22847.89,0.0,
ORD1077,duplicate_entry,10613.05,10400.79,10400.79,0.0,
ORD1078,clean,616.39,604.06,604.06,0.0,
ORD1079,timing_lag,23777.45,23301.9,23301.9,0.0,
ORD1080,clean,13901.4,13623.37,13623.37,0.0,
ORD1081,clean,28264.87,27699.57,27699.57,0.0,
ORD1082,clean,1127.99,1105.43,1105.43,0.0,
ORD1083,missing_settlement,4763.31,,,0.0,
ORD1084,clean,36614.89,35882.59,35882.59,0.0,
ORD1085,clean,37029.19,36288.61,36288.61,0.0,
ORD1086,clean,42203.49,41359.42,41359.42,0.0,
ORD1087,aged_missing_bank,40705.9,39891.78,,0.0,
ORD1088,clean,18566.5,18195.17,18195.17,0.0,
ORD1089,timing_lag,41072.52,40251.07,40251.07,0.0,
ORD1090,tds_deduction,18886.43,18504.92,18504.92,0.0,
ORD1091,aged_missing_bank,27786.67,27230.94,,0.0,
ORD1092,pending_bank,28355.39,27788.28,,0.0,
ORD1093,aged_missing_bank,19930.81,19532.19,,0.0,
ORD1094,clean,10554.7,10343.61,10343.61,0.0,
ORD1095,timing_lag,29158.88,28575.7,28575.7,0.0,
ORD1096,clean,2837.71,2780.96,2780.96,0.0,
ORD1097,aged_missing_bank,29069.14,28487.76,,0.0,
ORD1099,clean,8054.75,7893.66,7893.66,0.0,
ORD1100,clean,33703.74,33029.67,33029.67,0.0,
ORD1101,clean,15120.64,14818.23,14818.23,0.0,
ORD1102,clean,28565.97,27994.65,27994.65,0.0,
ORD1103,fee_variance,37867.15,36731.14,36731.14,0.0,
ORD1104,tds_deduction,10905.37,10685.08,10685.08,0.0,
ORD1105,clean,28206.68,27642.55,27642.55,0.0,
