order_id,settlement_date,gross_amount,fee,tds,net_amount,settlement_batch_id
ORD1000,2026-07-28,31298.89,625.98,0.0,30672.91,
ORD1001,2026-07-13,38825.29,776.51,0.0,38048.78,
ORD1002,2026-07-27,35310.06,706.2,0.0,34603.86,
ORD1003,2026-07-15,34003.41,680.07,0.0,33323.34,
ORD1004,2026-07-05,29404.8,588.1,5.88,28810.82,
ORD1005,2026-07-07,44121.38,882.43,0.0,43238.95,
ORD1006,2026-07-10,28294.77,565.9,0.0,27728.87,
ORD1007,2026-07-15,22682.15,340.23,0.0,22341.92,
ORD1008,2026-07-06,19049.41,380.99,0.0,18668.42,
ORD1009,2026-07-27,37918.77,758.38,0.0,37160.39,
ORD1010,2026-07-13,11805.51,236.11,0.0,11569.4,
ORD1011,2026-07-16,11510.6,230.21,0.0,11280.39,
ORD1012,2026-07-07,13020.26,260.41,0.0,12759.85,
ORD1013,2026-07-31,11698.59,233.97,0.0,11464.62,
ORD1014,2026-07-27,4974.14,99.48,0.0,4874.66,
ORD1015,2026-07-06,699.9,14.0,0.0,685.9,
ORD1016,2026-07-13,2296.1,45.92,0.0,2250.18,
ORD1017,2026-07-03,8936.01,178.72,0.0,8757.29,
ORD1018,2026-07-29,8410.28,168.21,1.68,8240.39,
ORD1019,2026-07-05,28866.85,577.34,0.0,28289.51,
ORD1021,2026-07-03,16907.53,338.15,0.0,16569.38,
ORD1022,2026-07-28,44994.38,899.89,0.0,44094.49,
ORD1023,2026-07-28,15062.59,301.25,0.0,14761.34,
ORD1024,2026-07-21,14392.71,287.85,0.0,14104.86,
ORD1025,2026-07-27,22555.32,451.11,0.0,22104.21,
ORD1026,2026-07-15,5011.76,100.24,0.0,4911.52,
ORD1027,2026-07-31,24262.87,485.26,0.0,23777.61,
ORD1028,2026-07-11,18735.61,374.71,0.0,18360.9,
ORD1029,2026-07-16,42916.9,858.34,8.58,42049.98,
ORD1030,2026-07-15,19031.82,380.64,0.0,18651.18,
ORD1031,2026-07-26,18521.32,370.43,0.0,18150.89,
ORD1032,2026-07-08,19357.09,387.14,3.87,18966.08,
ORD1033,2026-07-20,39786.29,795.73,0.0,38990.56,
ORD1034,2026-07-07,1160.13,23.2,0.0,1136.93,
ORD1035,2026-07-04,25992.47,519.85,0.0,25472.62,
ORD1036,2026-07-06,15983.55,319.67,0.0,15663.88,
ORD1037,2026-07-04,5341.28,106.83,0.0,5234.45,
ORD1038,2026-07-07,37759.51,755.19,0.0,37004.32,
ORD1039,2026-07-12,2875.17,57.5,0.58,2817.09,
ORD1040,2026-07-24,28105.26,562.11,0.0,27543.15,
ORD1041,2026-07-21,38162.64,763.25,0.0,37399.39,
ORD1043,2026-07-14,16484.74,329.69,0.0,16155.05,
ORD1044,2026-07-25,36796.41,735.93,0.0,36060.48,
ORD1045,2026-07-20,37990.58,759.81,7.6,37223.17,
ORD1046,2026-07-06,17847.73,535.43,0.0,17312.3,
ORD1047,2026-07-23,26426.8,528.54,0.0,25898.26,
ORD1048,2026-07-16,22909.24,458.18,0.0,22451.06,
ORD1049,2026-07-03,28040.69,560.81,0.0,27479.88,
ORD1051,2026-07-09,20383.44,407.67,0.0,19975.77,
ORD1052,2026-07-27,21558.24,431.16,0.0,21127.08,
ORD1054,2026-07-18,23202.18,464.04,0.0,22738.14,
ORD1055,2026-07-22,6297.06,75.56,0.0,6221.5,
ORD1056,2026-07-26,22924.62,458.49,0.0,22466.13,
ORD1057,2026-07-02,38639.62,772.79,0.0,37866.83,
ORD1059,2026-07-27,41263.83,825.28,8.25,40430.3,
ORD1060,2026-07-23,37570.11,751.4,0.0,36818.71,
ORD1061,2026-07-21,12737.17,254.74,0.0,12482.43,
ORD1062,2026-07-10,22848.7,456.97,0.0,22391.73,
ORD1063,2026-07-20,12197.61,243.95,0.0,11953.66,
ORD1064,2026-07-14,2139.07,42.78,0.43,2095.86,
ORD1065,2026-07-08,28827.44,576.55,0.0,28250.89,
ORD1066,2026-07-30,35749.53,714.99,0.0,35034.54,
ORD1067,2026-07-19,2661.44,53.23,0.0,2608.21,
ORD1068,2026-07-21,31148.43,934.45,0.0,30213.98,
ORD1069,2026-07-26,35996.34,719.93,0.0,35276.41,
ORD1070,2026-07-14,26192.54,523.85,0.0,25668.69,
ORD1071,2026-07-26,4121.66,82.43,0.0,4039.23,
ORD1072,2026-07-22,33589.97,671.8,0.0,32918.17,
