value_date,credit_amount,debit_amount,utr,reference,narration
2026-05-14,4134.90,0.00,UTIB327302383282,HSNE2480379,NEFT DIYA HSNE2480379
2026-04-22,489.02,0.00,SBIN880260280102,HSNE2449378,NEFT MEERA HSNE2449378
2026-05-06,28095.84,0.00,UTIB110754634877,HSNE2475010,NEFT POOJA HSNE2475010
2026-05-22,2448.51,0.00,UTIB314337089590,HSNE2481404,NEFT ANANYA HSNE2481404
2026-05-11,16460.10,0.00,SBIN235683706203,HSNE2493841,NEFT NANDINI HSNE2493841
2026-04-12,27332.28,0.00,ICIC618937811462,HSNE2454143,NEFT RIYA HSNE2454143
2026-05-08,6633.51,0.00,UTIB800462406389,HSNE2490770,NEFT ROHIT HSNE2490770
2026-05-11,10121.09,0.00,SBIN324668644801,HSNE2496661,NEFT FATIMA HSNE2496661
2026-04-17,12086.56,0.00,SBIN838787896206,HSNE2433310,NEFT YASH HSNE2433310
2026-04-25,2449.02,0.00,ICIC470475036367,HSNE2424087,NEFT HARSH HSNE2424087
2026-05-16,34910.21,0.00,UTIB295429025646,HSNE2407575,NEFT ADITYA HSNE2407575
2026-04-25,20658.33,0.00,KKBK670388852597,HSNE2418233,NEFT KAVYA HSNE2418233
2026-05-04,4451.89,0.00,HDFC946611165320,HSNE2443440,NEFT HARSH HSNE2443440
2026-04-13,9054.81,0.00,HDFC799473534852,HSNE2489534,NEFT SHREYA HSNE2489534
2026-05-11,1469.66,0.00,SBIN397803692182,HSNE2437221,NEFT ARJUN HSNE2437221
2026-04-27,888.76,0.00,UTIB837753328245,HSNE2450282,NEFT SHREYA HSNE2450282
2026-04-16,2779.89,0.00,KKBK781610938671,HSNE2408645,NEFT AARAV HSNE2408645
2026-04-17,2779.89,0.00,KKBK272729941861,HSNE2408645,NEFT AARAV HSNE2408645
2026-04-15,10252.22,0.00,KKBK411191674102,HSNE2487458,NEFT VIKRAM HSNE2487458
2026-04-07,4837.46,0.00,HDFC993305902014,HSNE2469046,NEFT ARJUN HSNE2469046
2026-04-23,5027.08,0.00,KKBK932989984508,HSNE2490123,NEFT NIKHIL HSNE2490123
2026-04-10,34930.16,0.00,ICIC524938310383,HSNE2412707,NEFT SIDDHARTH HSNE2412707
2026-05-16,1273.02,0.00,KKBK448468656625,HSNE2488449,NEFT SIDDHARTH HSNE2488449
2026-04-25,9366.09,0.00,HDFC708915546850,HSNE2418509,NEFT ARJUN HSNE2418509
2026-05-08,2449.02,0.00,HDFC966672860124,HSNE2462244,NEFT PRANAV HSNE2462244
2026-05-09,28178.43,0.00,SBIN103045890205,HSNE2441863,NEFT SNEHA HSNE2441863
2026-04-11,8194.14,0.00,UTIB333338125381,HSNE2425423,NEFT ADITYA HSNE2425423
2026-05-22,23196.68,0.00,UTIB673719503622,HSNE2414799,NEFT VIKRAM HSNE2414799
2026-05-01,11355.74,0.00,ICIC347237175159,HSNE2438739,NEFT FATIMA HSNE2438739
2026-05-14,26240.54,0.00,HDFC433412585846,HSNE2480578,NEFT YASH HSNE2480578
2026-04-23,2449.02,0.00,SBIN586849121420,HSNE2469404,NEFT SHREYA HSNE2469404
2026-05-10,979.02,0.00,HDFC911580842739,HSNE2469606,NEFT FATIMA HSNE2469606
2026-04-07,1273.02,0.00,SBIN587488320814,HSNE2484998,NEFT PRANAV HSNE2484998
2026-04-18,36248.11,0.00,KKBK933695873172,HSNE2418382,NEFT NIKHIL HSNE2418382
2026-05-15,20940.68,0.00,ICIC632778735528,HSNE2485589,NEFT JHANVI HSNE2485589
2026-05-01,2942.32,0.00,HDFC962129526047,HSNE2426410,NEFT POOJA HSNE2426410
2026-05-16,11730.35,0.00,HDFC291193802269,HSNE2444198,NEFT GAURAV HSNE2444198
2026-04-30,489.02,0.00,UTIB406065276873,HSNE2462064,NEFT ANANYA HSNE2462064
2026-04-10,979.02,0.00,HDFC491149336157,HSNE2498451,NEFT KUNAL HSNE2498451
2026-04-13,1273.02,0.00,ICIC884963813861,HSNE2456789,NEFT ANANYA HSNE2456789
2026-05-05,1273.02,0.00,HDFC970881951315,HSNE2417737,NEFT RIYA HSNE2417737
2026-04-20,9287.06,0.00,KKBK189190226115,HSNE2497985,NEFT MEERA HSNE2497985
2026-05-02,2449.02,0.00,KKBK883585039027,HSNE2455834,NEFT ISHITA HSNE2455834
2026-04-07,9424.14,0.00,UTIB491619427275,HSNE2467364,NEFT GAURAV HSNE2467364
2026-04-07,10811.52,0.00,KKBK789875739860,HSNE2420985,NEFT AISHA HSNE2420985
2026-04-13,29151.14,0.00,ICIC301330521342,HSNE2469841,NEFT AARAV HSNE2469841
2026-05-14,14017.99,0.00,ICIC362076721547,HSNE2475232,NEFT POOJA HSNE2475232
2026-04-24,4310.30,0.00,SBIN583367941451,HSNE2436631,NEFT AISHA HSNE2436631
2026-05-18,31009.62,0.00,ICIC312079176439,HSNE2460478,NEFT ADITYA HSNE2460478
2026-05-02,732.62,0.00,KKBK314969020590,HSNE2490760,NEFT SIDDHARTH HSNE2490760
2026-04-16,783.02,0.00,UTIB610641252090,HSNE2489996,NEFT ARJUN HSNE2489996
2026-04-17,11127.20,0.00,ICIC446951147312,HSNE2451619,NEFT SNEHA HSNE2451619
2026-04-17,15453.39,0.00,HDFC897644117729,HSNE2459563,NEFT GAURAV HSNE2459563
2026-04-15,1959.02,0.00,KKBK345066891435,HSNE2464770,NEFT NIKHIL HSNE2464770
2026-05-23,5262.48,0.00,HDFC790419540497,HSNE2447453,NEFT DIYA HSNE2447453
2026-05-23,10251.68,0.00,SBIN914680766770,HSNE2402538,NEFT NIKHIL HSNE2402538
2026-05-08,32397.89,0.00,SBIN933764034136,HSNE2423872,NEFT ARJUN HSNE2423872
2026-04-23,17639.41,0.00,ICIC531132680325,HSNE2467624,NEFT MANISH HSNE2467624
2026-05-08,1546.60,0.00,ICIC200320200349,HSNE2422797,NEFT RIYA HSNE2422797
2026-04-18,11793.25,0.00,HDFC365217251361,HSNE2432243,NEFT SIDDHARTH HSNE2432243
2026-04-07,30855.68,0.00,SBIN722249247996,HSNE2497492,NEFT ISHITA HSNE2497492
2026-05-05,34821.28,0.00,HDFC463266146491,HSNE2453503,NEFT SHREYA HSNE2453503
2026-05-06,34821.28,0.00,SBIN475872716437,HSNE2453503,NEFT SHREYA HSNE2453503
2026-05-08,783.02,0.00,SBIN576572912374,HSNE2423896,NEFT MEERA HSNE2423896
2026-04-30,6863.68,0.00,SBIN402977137417,HSNE2480865,NEFT MANISH HSNE2480865
2026-05-01,6863.68,0.00,ICIC473657747935,HSNE2480865,NEFT MANISH HSNE2480865
2026-04-14,26479.22,0.00,ICIC564216210572,HSNE2402604,NEFT SNEHA HSNE2402604
2026-05-14,783.02,0.00,KKBK988755375481,HSNE2472904,NEFT POOJA HSNE2472904
2026-04-28,32924.98,0.00,ICIC132429440770,HSNE2436910,NEFT SHREYA HSNE2436910
2026-05-13,13972.98,0.00,KKBK979928873712,HSNE2403957,NEFT PRANAV HSNE2403957
2026-04-29,10618.05,0.00,UTIB908378864527,HSNE2482777,NEFT VIKRAM HSNE2482777
2026-05-16,1469.02,0.00,SBIN337396882297,HSNE2474274,NEFT ANANYA HSNE2474274
2026-04-07,5320.27,0.00,ICIC635721618207,HSNE2441161,NEFT NANDINI HSNE2441161
2026-05-15,489.02,0.00,UTIB383952025961,HSNE2481219,NEFT AARAV HSNE2481219
2026-04-20,10675.31,0.00,UTIB189221837821,HSNE2424549,NEFT NIKHIL HSNE2424549
2026-04-24,28928.17,0.00,KKBK529670684727,HSNE2438927,NEFT SHREYA HSNE2438927
2026-05-07,2449.02,0.00,ICIC227873777308,HSNE2404471,NEFT KAVYA HSNE2404471
2026-05-12,9458.49,0.00,SBIN559231627031,HSNE2478134,NEFT POOJA HSNE2478134
2026-04-16,2449.02,0.00,SBIN416884519018,HSNE2408886,NEFT SHREYA HSNE2408886
2026-04-07,6576.80,0.00,KKBK920798331708,HSNE2427417,NEFT RIYA HSNE2427417
2026-05-20,24017.10,0.00,HDFC791791830678,HSNE2417011,NEFT YASH HSNE2417011
2026-05-01,2449.02,0.00,ICIC317878238962,HSNE2476981,NEFT SNEHA HSNE2476981
2026-05-07,10256.39,0.00,UTIB754847830096,HSNE2424757,NEFT SNEHA HSNE2424757
2026-04-13,7058.33,0.00,KKBK954688985532,HSNE2405282,NEFT PRANAV HSNE2405282
2026-05-05,1273.02,0.00,ICIC599749441759,HSNE2447303,NEFT PRANAV HSNE2447303
2026-04-20,11534.48,0.00,UTIB108835828773,HSNE2478119,NEFT LEELA HSNE2478119
2026-04-09,7932.29,0.00,ICIC629359493322,HSNE2447506,NEFT VIKRAM HSNE2447506
2026-04-27,489.02,0.00,ICIC964425693095,HSNE2446613,NEFT RIYA HSNE2446613
2026-04-08,489.02,0.00,KKBK193014066013,HSNE2427255,NEFT MANISH HSNE2427255
2026-04-18,1959.02,0.00,ICIC710098660834,HSNE2414956,NEFT ADITYA HSNE2414956
2026-05-13,9852.03,0.00,UTIB978911557885,HSNE2453226,NEFT MANISH HSNE2453226
2026-04-16,36748.99,0.00,KKBK952476031137,HSNE2477392,NEFT TANVI HSNE2477392
2026-04-12,783.02,0.00,SBIN360070166952,HSNE2437855,NEFT GAURAV HSNE2437855
