transaction_id,expected_decision,expected_reason,expected_ledger_amount,expected_gateway_amount,expected_settlement_amount,expected_bank_amount,expected_variance,expected_match_type,expected_confidence_band,human_review_required
HSNE2480379,MATCH,,4219.29,4219.29,4134.90,4134.90,0.00,EXACT,high,false
HSNE2449378,MATCH,,499.00,499.00,489.02,489.02,0.00,EXACT,high,false
HSNE2475010,MATCH,,28669.22,28669.22,28095.84,28095.84,0.00,EXACT,high,false
HSNE2481404,MATCH,,2499.00,2499.00,2449.02,2448.51,0.51,TOLERANCE,medium,false
HSNE2493841,MATCH,,16796.02,16796.02,16460.10,16460.10,0.00,EXACT,high,false
HSNE2454143,MATCH,,27890.08,27890.08,27332.28,27332.28,0.00,EXACT,high,false
HSNE2490770,MATCH,,6768.89,6768.89,6633.51,6633.51,0.00,EXACT,high,false
HSNE2496661,MATCH,,10327.64,10327.64,10121.09,10121.09,0.00,EXACT,high,false
HSNE2433310,EXCEPTION,refund_partial,19728.74,19728.74,19334.17,12086.56,7247.61,EXCEPTION,high,true
HSNE2424087,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2407575,MATCH,,35622.66,35622.66,34910.21,34910.21,0.00,EXACT,high,false
HSNE2480750,EXCEPTION,missing_bank_credit,18651.32,18651.32,18278.29,,,EXCEPTION,high,true
HSNE2418233,MATCH,,21079.93,21079.93,20658.33,20658.33,0.00,EXACT,high,false
HSNE2443440,MATCH,,4542.75,4542.75,4451.89,4451.89,0.00,EXACT,high,false
HSNE2489534,MATCH,,9239.60,9239.60,9054.81,9054.81,0.00,EXACT,high,false
HSNE2437221,MATCH,,1499.00,1499.00,1469.02,1469.66,-0.64,TOLERANCE,medium,false
HSNE2450282,EXCEPTION,refund_partial,1499.00,1499.00,1469.02,888.76,580.26,EXCEPTION,high,true
HSNE2408645,EXCEPTION,duplicate_bank_credit,2836.62,2836.62,2779.89,2779.89,0.00,EXCEPTION,high,true
HSNE2487458,MATCH,,10461.45,10461.45,10252.22,10252.22,0.00,EXACT,high,false
HSNE2469046,MATCH,,4936.18,4936.18,4837.46,4837.46,0.00,EXACT,high,false
HSNE2490123,MATCH,,5129.67,5129.67,5027.08,5027.08,0.00,EXACT,high,false
HSNE2412707,MATCH,,35643.02,35643.02,34930.16,34930.16,0.00,EXACT,high,false
HSNE2488449,MATCH,,1299.00,1299.00,1273.02,1273.02,0.00,EXACT,high,false
HSNE2418509,MATCH,,9557.23,9557.23,9366.09,9366.09,0.00,EXACT,high,false
HSNE2462244,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2441863,MATCH,,28753.50,28753.50,28178.43,28178.43,0.00,FUZZY,medium,false
HSNE2425423,MATCH,,8361.37,8361.37,8194.14,8194.14,0.00,EXACT,high,false
HSNE2414799,MATCH,,23670.08,23670.08,23196.68,23196.68,0.00,EXACT,high,false
HSNE2438739,MATCH,,11587.49,11587.49,11355.74,11355.74,0.00,EXACT,high,false
HSNE2480578,MATCH,,26776.06,26776.06,26240.54,26240.54,0.00,EXACT,high,false
HSNE2469404,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2469606,MATCH,,999.00,999.00,979.02,979.02,0.00,EXACT,high,false
HSNE2484998,MATCH,,1299.00,1299.00,1273.02,1273.02,0.00,EXACT,high,false
HSNE2418382,MATCH,,36987.87,36987.87,36248.11,36248.11,0.00,FUZZY,medium,false
HSNE2485589,MATCH,,21368.04,21368.04,20940.68,20940.68,0.00,EXACT,high,false
HSNE2426410,EXCEPTION,amount_mismatch,3089.10,3089.10,3027.32,2942.32,85.00,EXCEPTION,high,true
HSNE2444198,MATCH,,11969.74,11969.74,11730.35,11730.35,0.00,EXACT,high,false
HSNE2462064,MATCH,,499.00,499.00,489.02,489.02,0.00,EXACT,high,false
HSNE2498451,MATCH,,999.00,999.00,979.02,979.02,0.00,EXACT,high,false
HSNE2456789,MATCH,,1299.00,1299.00,1273.02,1273.02,0.00,EXACT,high,false
HSNE2417737,MATCH,,1299.00,1299.00,1273.02,1273.02,0.00,EXACT,high,false
HSNE2497985,MATCH,,9476.59,9476.59,9287.06,9287.06,0.00,EXACT,high,false
HSNE2455834,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2467364,MATCH,,9616.47,9616.47,9424.14,9424.14,0.00,EXACT,high,false
HSNE2420985,MATCH,,11032.16,11032.16,10811.52,10811.52,0.00,EXACT,high,false
HSNE2469841,MATCH,,29746.06,29746.06,29151.14,29151.14,0.00,EXACT,high,false
HSNE2475232,MATCH,,14304.07,14304.07,14017.99,14017.99,0.00,EXACT,high,false
HSNE2436631,MATCH,,4398.27,4398.27,4310.30,4310.30,0.00,FUZZY,medium,false
HSNE2460478,MATCH,,31642.47,31642.47,31009.62,31009.62,0.00,EXACT,high,false
HSNE2490760,EXCEPTION,refund_partial,999.00,999.00,979.02,732.62,246.40,EXCEPTION,high,true
HSNE2489996,MATCH,,799.00,799.00,783.02,783.02,0.00,EXACT,high,false
HSNE2492139,EXCEPTION,missing_settlement,11147.79,,,,,EXCEPTION,high,true
HSNE2451619,MATCH,timing_difference,11354.29,11354.29,11127.20,11127.20,0.00,FUZZY,medium,false
HSNE2459563,MATCH,,15768.77,15768.77,15453.39,15453.39,0.00,EXACT,high,false
HSNE2464770,MATCH,,1999.00,1999.00,1959.02,1959.02,0.00,EXACT,high,false
HSNE2447453,MATCH,,5369.88,5369.88,5262.48,5262.48,0.00,EXACT,high,false
HSNE2402538,MATCH,,10460.90,10460.90,10251.68,10251.68,0.00,EXACT,high,false
HSNE2423872,MATCH,,33059.07,33059.07,32397.89,32397.89,0.00,EXACT,high,false
HSNE2467624,MATCH,timing_difference,17999.40,17999.40,17639.41,17639.41,0.00,FUZZY,medium,false
HSNE2422797,EXCEPTION,refund_partial,2499.00,2499.00,2449.02,1546.60,902.42,EXCEPTION,high,true
HSNE2429765,EXCEPTION,missing_settlement,5183.17,,,,,EXCEPTION,high,true
HSNE2430070,EXCEPTION,missing_bank_credit,499.00,499.00,489.02,,,EXCEPTION,high,true
HSNE2432243,MATCH,,12033.93,12033.93,11793.25,11793.25,0.00,EXACT,high,false
HSNE2497492,MATCH,,31485.39,31485.39,30855.68,30855.68,0.00,EXACT,high,false
HSNE2421492,EXCEPTION,missing_bank_credit,10028.64,10028.64,9828.07,,,EXCEPTION,high,true
HSNE2453503,EXCEPTION,duplicate_bank_credit,35531.92,35531.92,34821.28,34821.28,0.00,EXCEPTION,high,true
HSNE2432064,EXCEPTION,missing_settlement,24525.05,,,,,EXCEPTION,high,true
HSNE2423896,MATCH,,799.00,799.00,783.02,783.02,0.00,EXACT,high,false
HSNE2480865,EXCEPTION,duplicate_bank_credit,7003.76,7003.76,6863.68,6863.68,0.00,EXCEPTION,high,true
HSNE2402604,MATCH,,27019.61,27019.61,26479.22,26479.22,0.00,EXACT,high,false
HSNE2472904,MATCH,,799.00,799.00,783.02,783.02,0.00,EXACT,high,false
HSNE2436910,MATCH,,33596.92,33596.92,32924.98,32924.98,0.00,EXACT,high,false
HSNE2403957,MATCH,,14258.14,14258.14,13972.98,13972.98,0.00,EXACT,high,false
HSNE2482777,MATCH,,10834.74,10834.74,10618.05,10618.05,0.00,FUZZY,medium,false
HSNE2474274,MATCH,,1499.00,1499.00,1469.02,1469.02,0.00,EXACT,high,false
HSNE2441161,MATCH,,5428.85,5428.85,5320.27,5320.27,0.00,EXACT,high,false
HSNE2481219,MATCH,,499.00,499.00,489.02,489.02,0.00,EXACT,high,false
HSNE2424549,MATCH,,10893.17,10893.17,10675.31,10675.31,0.00,EXACT,high,false
HSNE2439286,EXCEPTION,missing_settlement,9996.79,,,,,EXCEPTION,high,true
HSNE2438927,MATCH,,29518.54,29518.54,28928.17,28928.17,0.00,EXACT,high,false
HSNE2404471,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2478134,EXCEPTION,amount_mismatch,9932.13,9932.13,9733.49,9458.49,275.00,EXCEPTION,high,true
HSNE2408811,EXCEPTION,missing_bank_credit,22759.00,22759.00,22303.82,,,EXCEPTION,high,true
HSNE2479407,EXCEPTION,missing_bank_credit,3990.60,3990.60,3910.79,,,EXCEPTION,high,true
HSNE2408886,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2427417,MATCH,,6711.02,6711.02,6576.80,6576.80,0.00,EXACT,high,false
HSNE2417011,EXCEPTION,amount_mismatch,24650.10,24650.10,24157.10,24017.10,140.00,EXCEPTION,high,true
HSNE2476981,MATCH,,2499.00,2499.00,2449.02,2449.02,0.00,EXACT,high,false
HSNE2424757,MATCH,,10465.70,10465.70,10256.39,10256.39,0.00,EXACT,high,false
HSNE2405282,MATCH,,7202.76,7202.76,7058.70,7058.33,0.37,TOLERANCE,medium,false
HSNE2447303,MATCH,timing_difference,1299.00,1299.00,1273.02,1273.02,0.00,FUZZY,medium,false
HSNE2478119,MATCH,,11769.88,11769.88,11534.48,11534.48,0.00,EXACT,high,false
HSNE2447506,MATCH,,8094.17,8094.17,7932.29,7932.29,0.00,EXACT,high,false
HSNE2446613,MATCH,,499.00,499.00,489.02,489.02,0.00,EXACT,high,false
HSNE2427255,MATCH,,499.00,499.00,489.02,489.02,0.00,EXACT,high,false
HSNE2469089,EXCEPTION,missing_settlement,20182.86,,,,,EXCEPTION,high,true
HSNE2414956,MATCH,,1999.00,1999.00,1959.02,1959.02,0.00,EXACT,high,false
HSNE2453226,MATCH,,10053.09,10053.09,9852.03,9852.03,0.00,EXACT,high,false
HSNE2477392,MATCH,,37498.97,37498.97,36748.99,36748.99,0.00,EXACT,high,false
HSNE2437855,MATCH,,799.00,799.00,783.02,783.02,0.00,EXACT,high,false
