value_date,credit_amount,debit_amount,utr,reference,narration
2025-12-11,31123.22,0.00,KKBK156920891760,pay_x6WL6tvoxe,UPI/Diya/pay_x6WL6tvoxe
2026-02-05,980.98,0.00,ICIC489804313856,pay_5GmLU0JESk,UPI/Pooja/pay_5GmLU0JESk
2025-12-26,70800.36,0.00,KKBK308123942133,pay_5bmJjnIaCY,UPI/Jhanvi/pay_5bmJjnIaCY
2025-12-06,980.98,0.00,KKBK572703486281,pay_AqpxujSWkx,UPI/Kavya/pay_AqpxujSWkx
2026-01-24,6116.03,0.00,HDFC238112948837,pay_PQeMFJHDZT,UPI/Ishita/pay_PQeMFJHDZT
2025-12-30,68792.42,0.00,KKBK656928717955,pay_UvGqdhBxwR,UPI/Kavya/pay_UvGqdhBxwR
2026-01-16,8684.56,0.00,ICIC304680547902,pay_eIVK0Qg1XS,UPI/Siddharth/pay_eIVK0Qg1XS
2026-01-29,18912.64,0.00,SBIN564654672185,pay_B6ETU4X86t,UPI/Kavya/pay_B6ETU4X86t
2026-02-07,245.00,0.00,SBIN133771112291,pay_Uf890AhJMi,UPI/Yash/pay_Uf890AhJMi
2025-12-21,4816.18,0.00,UTIB444170015182,pay_Yov5XTga5G,UPI/Leela/pay_Yov5XTga5G
2026-01-12,6454.81,0.00,KKBK872296957278,pay_7pjWHdw8qx,UPI/Vikram/pay_7pjWHdw8qx
2025-12-17,67327.63,0.00,KKBK413659101121,pay_wTAZgcgZK2,UPI/Tanvi/pay_wTAZgcgZK2
2026-01-27,165095.47,0.00,ICIC199461339961,pay_gpJA91QBeL,UPI/Jhanvi/pay_gpJA91QBeL
2025-12-11,88459.06,0.00,HDFC343363395118,pay_Fuuoh0GPyT,UPI/Pooja/pay_Fuuoh0GPyT
2025-12-17,10388.89,0.00,UTIB811725457679,pay_mzZtTu3aih,UPI/Kavya/pay_mzZtTu3aih
2026-01-15,2465.99,0.00,SBIN482267153471,pay_Udv8joDz8Q,UPI/Meera/pay_Udv8joDz8Q
2026-01-03,98.27,0.00,KKBK804963305488,pay_FICohxCvWZ,UPI/Aarav/pay_FICohxCvWZ
2025-12-10,97.97,0.00,ICIC312833099472,pay_hADBwFZaIa,UPI/Manish/pay_hADBwFZaIa
2025-12-13,5693.59,0.00,SBIN132537559405,pay_BUzSWAfhBP,UPI/Yash/pay_BUzSWAfhBP
2026-02-02,160651.31,0.00,SBIN690783388362,pay_TcK181kSs1,UPI/Pooja/pay_TcK181kSs1
2026-01-26,1381.39,0.00,UTIB193754406697,pay_x0CHeIkPt6,UPI/Nikhil/pay_x0CHeIkPt6
2025-12-22,73328.25,0.00,HDFC794396005494,pay_5law0UdoBF,UPI/Riya/pay_5law0UdoBF
2026-02-12,2450.98,0.00,ICIC136892892003,pay_QuWc2vastF,UPI/Aditya/pay_QuWc2vastF
2026-01-15,50859.05,0.00,ICIC640160158550,pay_QaO38CLCyU,UPI/Fatima/pay_QaO38CLCyU
2026-01-27,113529.50,0.00,HDFC849372358193,pay_0UIFSLzS78,UPI/Riya/pay_0UIFSLzS78
2026-02-03,245.00,0.00,ICIC385469416332,pay_2oU1NxeguH,UPI/Diya/pay_2oU1NxeguH
2026-01-20,16034.53,0.00,HDFC560466415257,pay_DevAJb5gPf,NEFT PART pay_DevAJb5gPf
2026-01-23,10689.69,0.00,UTIB650868365633,pay_DevAJb5gPf,NEFT PART pay_DevAJb5gPf
2025-12-13,1192.09,0.00,KKBK326175955080,pay_aLbsLloKvB,NEFT PART pay_aLbsLloKvB
2025-12-16,794.73,0.00,KKBK434064351896,pay_aLbsLloKvB,NEFT PART pay_aLbsLloKvB
2025-12-14,83930.90,0.00,HDFC239693319378,pay_kfqtq2IdsR,NEFT PART pay_kfqtq2IdsR
