settlement_id,merchant_order_id,settlement_date,gross_amount,fee,tds,refund_amount,net_amount,payment_mode
st_0000_voxe,pay_x6WL6tvoxe,2025-12-11,31758.39,635.17,0.00,0.00,31123.22,UPI
st_0001_JESk,pay_5GmLU0JESk,2026-02-05,1001.00,20.02,0.00,0.00,980.98,VISA
st_0002_IaCY,pay_5bmJjnIaCY,2025-12-26,72245.27,1444.91,0.00,0.00,70800.36,VISA
st_0003_SWkx,pay_AqpxujSWkx,2025-12-06,1001.00,20.02,0.00,0.00,980.98,UPI
st_0004_HDZT,pay_PQeMFJHDZT,2026-01-24,6240.85,124.82,0.00,0.00,6116.03,VISA
st_0005_BxwR,pay_UvGqdhBxwR,2025-12-30,70196.35,1403.93,0.00,0.00,68792.42,RUPAY
st_0006_g1XS,pay_eIVK0Qg1XS,2026-01-16,8861.80,177.24,0.00,0.00,8684.56,UPI
st_0007_X86t,pay_B6ETU4X86t,2026-01-29,19298.61,385.97,0.00,0.00,18912.64,RUPAY
st_0008_hJMi,pay_Uf890AhJMi,2026-02-07,250.00,5.00,0.00,0.00,245.00,RUPAY
st_0009_ga5G,pay_Yov5XTga5G,2025-12-21,4914.47,98.29,0.00,0.00,4816.18,VISA
st_0010_w8qx,pay_7pjWHdw8qx,2026-01-12,6586.54,131.73,0.00,0.00,6454.81,VISA
st_0011_gZK2,pay_wTAZgcgZK2,2025-12-17,68701.66,1374.03,0.00,0.00,67327.63,RUPAY
st_0012_QBeL,pay_gpJA91QBeL,2026-01-27,168464.77,3369.30,0.00,0.00,165095.47,UPI
st_0013_GPyT,pay_Fuuoh0GPyT,2025-12-11,90264.35,1805.29,0.00,0.00,88459.06,UPI
st_0014_3aih,pay_mzZtTu3aih,2025-12-17,10579.32,190.43,0.00,0.00,10388.89,RUPAY
st_0015_Dz8Q,pay_Udv8joDz8Q,2026-01-15,2501.00,35.01,0.00,0.00,2465.99,VISA
st_0016_CvWZ,pay_FICohxCvWZ,2026-01-03,101.00,2.73,0.00,0.00,98.27,RUPAY
st_0017_ZaIa,pay_hADBwFZaIa,2025-12-10,101.00,2.02,1.01,0.00,97.97,UPI
st_0018_fhBP,pay_BUzSWAfhBP,2025-12-13,5869.68,117.39,58.70,0.00,5693.59,UPI
st_0019_kSs1,pay_TcK181kSs1,2026-02-02,163930.33,3278.61,0.00,0.00,160651.72,RUPAY
st_0020_kPt6,pay_x0CHeIkPt6,2026-01-26,1410.32,28.21,0.00,0.00,1382.11,VISA
st_0021_doBF,pay_5law0UdoBF,2025-12-18,74824.75,1496.50,0.00,0.00,73328.25,UPI
st_0022_astF,pay_QuWc2vastF,2026-02-09,2501.00,50.02,0.00,0.00,2450.98,RUPAY
st_0023_LCyU,pay_QaO38CLCyU,2026-01-11,51896.99,1037.94,0.00,0.00,50859.05,RUPAY
st_0024_zS78,pay_0UIFSLzS78,2026-01-25,115846.43,2316.93,0.00,0.00,113529.50,VISA
st_0025_eguH,pay_2oU1NxeguH,2026-02-01,250.00,5.00,0.00,0.00,245.00,UPI
st_pay_NXzmXkbNGq,pay_NXzmXkbNGq,2026-01-21,78991.23,1579.82,0.00,0.00,77411.41,UPI
st_pay_LMiTMpLFMh,pay_LMiTMpLFMh,2025-12-05,23193.33,463.87,0.00,0.00,22729.46,UPI
st_pay_q1CbPoyPpF,pay_q1CbPoyPpF,2026-01-16,7920.10,158.40,0.00,0.00,7761.70,UPI
st_pay_IefaNmKSde,pay_IefaNmKSde,2025-12-19,19996.92,399.94,0.00,0.00,19596.98,UPI
st_pay_yExU9aPTww,pay_yExU9aPTww,2025-12-07,39638.14,792.76,0.00,0.00,38845.38,UPI
st_pay_DevAJb5gPf_1,pay_DevAJb5gPf,2026-01-20,16361.77,327.23,0.00,0.00,16034.53,CARD
st_pay_DevAJb5gPf_2,pay_DevAJb5gPf,2026-01-22,10907.84,218.16,0.00,0.00,10689.69,CARD
st_pay_aLbsLloKvB_1,pay_aLbsLloKvB,2025-12-13,1216.42,24.33,0.00,0.00,1192.09,CARD
st_pay_aLbsLloKvB_2,pay_aLbsLloKvB,2025-12-15,810.95,16.22,0.00,0.00,794.73,CARD
st_pay_kfqtq2IdsR_1,pay_kfqtq2IdsR,2025-12-14,85643.78,1712.87,0.00,0.00,83930.90,CARD
st_pay_kfqtq2IdsR_2,pay_kfqtq2IdsR,2025-12-16,57095.85,1141.92,0.00,0.00,55953.94,CARD
st_0034_oVbv,pay_F3PKBcoVbv,2026-01-25,18499.00,369.98,0.00,0.00,18129.02,UPI
st_0035_Fcv8,pay_VEZ7puFcv8,2026-02-01,18499.00,369.98,0.00,0.00,18129.02,VISA
st_0036_UdjE,pay_punRjkUdjE,2026-01-11,5299.00,105.98,0.00,0.00,5193.02,VISA
st_0037_gN9e,pay_bmQds8gN9e,2026-02-01,5299.00,105.98,0.00,0.00,5193.02,UPI
st_0038_tczG,pay_gPv4KltczG,2026-01-04,1001.00,20.02,0.00,0.00,980.98,VISA
st_0039_tcz0,pay_gPv4Kltcz0,2025-12-24,17319.67,346.39,0.00,0.00,16973.28,UPI
st_0040_iEiz,pay_x6eBYWiEiz,2026-01-19,7246.27,144.93,0.00,0.00,7101.34,RUPAY
st_0040_iEizb,pay_x6eBYWiEiz,2026-01-19,7246.27,144.93,0.00,0.00,7101.34,RUPAY
st_0041_PmoD,pay_vqkwTlPmoD,2026-01-14,91451.77,1829.04,0.00,0.00,89622.73,RUPAY
st_0041_PmoDb,pay_vqkwTlPmoD,2026-01-14,91451.77,1829.04,0.00,0.00,89622.73,RUPAY
st_0042_exqV,pay_xcGxvvexqV,2026-01-22,100377.40,2007.55,0.00,0.00,98369.85,RUPAY
st_0043_6vX7,pay_ephfVs6vX7,2026-02-04,27572.64,551.45,0.00,0.00,27021.19,VISA
st_0044_M5rD,pay_vek0y4M5rD,2026-01-22,113013.14,2260.26,0.00,0.00,110752.88,VISA
st_0045_dh7I,pay_4Q0M3Tdh7I,2026-02-06,5689.47,113.79,0.00,0.00,5575.68,VISA
st_0046_h4oA,pay_mAoP2Sh4oA,2026-01-26,141.25,2.83,0.00,0.00,138.42,VISA
st_0047_vvHA,pay_x5zburvvHA,2026-02-07,6890.83,137.82,0.00,0.00,6753.01,UPI
st_0048_qw7R,pay_Bf3RfBqw7R,2026-01-30,26062.86,521.26,0.00,0.00,25541.60,RUPAY
st_0049_m4Bn,pay_OOoM1jm4Bn,2025-12-13,103538.43,2070.77,0.00,0.00,101467.66,RUPAY
st_0050_kE2o,pay_STxfPMkE2o,2025-12-04,45358.87,907.18,0.00,44451.69,44451.69,RUPAY
st_0051_CDLg,pay_FaYKSMCDLg,2025-12-18,2501.00,50.02,0.00,760.38,2450.98,UPI
st_0052_OXel,pay_LlJ2DlOXel,2026-01-02,133587.48,2671.75,0.00,29551.21,130915.73,VISA
st_0053_PbVy,pay_KzIE2hPbVy,2025-12-23,7940.50,158.81,0.00,158.81,7781.69,VISA
st_0054_aNxd,pay_g950vxaNxd,2025-12-23,21386.60,427.73,0.00,0.00,20958.87,VISA
st_0055_mXvT,pay_Mf6MixmXvT,2026-02-02,2501.00,50.02,0.00,0.00,2450.98,UPI
st_0056_euFm,pay_8ErT4OeuFm,2026-01-14,117662.35,2353.25,0.00,0.00,115309.10,VISA
st_0057_WRSS,pay_2JgS6BWRSS,2025-12-13,42430.07,848.60,0.00,0.00,41581.47,UPI
st_0058_X8wC,pay_0oesuWX8wC,2025-12-04,144632.63,2892.65,0.00,0.00,141739.98,UPI
st_0059_YyFs,pay_Qg0hj7YyFs,2026-01-04,13428.53,268.57,0.00,0.00,13159.96,VISA
st_0064_LdKH,pay_mei2gGLdKH,2025-12-24,157064.53,3141.29,0.00,0.00,153923.24,RUPAY
st_0065_3VBC,pay_lYzBlh3VBC,2026-01-01,13321.88,266.44,0.00,0.00,13055.44,RUPAY
st_0066_xVRB,pay_gRZC3UxVRB,2026-01-23,1001.00,20.02,0.00,0.00,980.98,VISA
st_0067_vM1L,pay_uVVSS3vM1L,2026-01-03,501.00,10.02,0.00,0.00,490.98,UPI
