transaction_id,expected_decision,expected_reason,expected_ledger_amount,expected_gateway_amount,expected_settlement_amount,expected_bank_amount,expected_variance,expected_match_type,expected_confidence_band,human_review_required
pay_x6WL6tvoxe,MATCH,,31758.39,31758.39,31123.22,31123.22,0.00,EXACT,high,false
pay_5GmLU0JESk,MATCH,,1001.00,1001.00,980.98,980.98,0.00,EXACT,high,false
pay_5bmJjnIaCY,MATCH,,72245.27,72245.27,70800.36,70800.36,0.00,EXACT,high,false
pay_AqpxujSWkx,MATCH,,1001.00,1001.00,980.98,980.98,0.00,EXACT,high,false
pay_PQeMFJHDZT,MATCH,,6240.85,6240.85,6116.03,6116.03,0.00,EXACT,high,false
pay_UvGqdhBxwR,MATCH,,70196.35,70196.35,68792.42,68792.42,0.00,EXACT,high,false
pay_eIVK0Qg1XS,MATCH,,8861.80,8861.80,8684.56,8684.56,0.00,EXACT,high,false
pay_B6ETU4X86t,MATCH,,19298.61,19298.61,18912.64,18912.64,0.00,EXACT,high,false
pay_Uf890AhJMi,MATCH,,250.00,250.00,245.00,245.00,0.00,EXACT,high,false
pay_Yov5XTga5G,MATCH,,4914.47,4914.47,4816.18,4816.18,0.00,EXACT,high,false
pay_7pjWHdw8qx,MATCH,,6586.54,6586.54,6454.81,6454.81,0.00,EXACT,high,false
pay_wTAZgcgZK2,MATCH,,68701.66,68701.66,67327.63,67327.63,0.00,EXACT,high,false
pay_gpJA91QBeL,MATCH,,168464.77,168464.77,165095.47,165095.47,0.00,EXACT,high,false
pay_Fuuoh0GPyT,MATCH,,90264.35,90264.35,88459.06,88459.06,0.00,EXACT,high,false
pay_mzZtTu3aih,MATCH,,10579.32,10579.32,10388.89,10388.89,0.00,TOLERANCE,medium,false
pay_Udv8joDz8Q,MATCH,,2501.00,2501.00,2465.99,2465.99,0.00,TOLERANCE,medium,false
pay_FICohxCvWZ,MATCH,,101.00,101.00,98.27,98.27,0.00,TOLERANCE,medium,false
pay_hADBwFZaIa,MATCH,,101.00,101.00,97.97,97.97,0.00,TOLERANCE,medium,false
pay_BUzSWAfhBP,MATCH,,5869.68,5869.68,5693.59,5693.59,0.00,TOLERANCE,medium,false
pay_TcK181kSs1,MATCH,,163930.33,163930.33,160651.72,160651.31,0.41,TOLERANCE,medium,false
pay_x0CHeIkPt6,MATCH,,1410.32,1410.32,1382.11,1381.39,0.72,TOLERANCE,medium,false
pay_5law0UdoBF,MATCH,timing_difference,74824.75,74824.75,73328.25,73328.25,0.00,FUZZY,medium,false
pay_QuWc2vastF,MATCH,timing_difference,2501.00,2501.00,2450.98,2450.98,0.00,FUZZY,medium,false
pay_QaO38CLCyU,MATCH,timing_difference,51896.99,51896.99,50859.05,50859.05,0.00,FUZZY,medium,false
pay_0UIFSLzS78,MATCH,timing_difference,115846.43,115846.43,113529.50,113529.50,0.00,FUZZY,medium,false
pay_2oU1NxeguH,MATCH,timing_difference,250.00,250.00,245.00,245.00,0.00,FUZZY,medium,false
pay_NXzmXkbNGq,MATCH,,78991.23,78991.23,77411.41,107902.57,0.00,MANY_TO_ONE,medium,false
pay_LMiTMpLFMh,MATCH,,23193.33,23193.33,22729.46,107902.57,0.00,MANY_TO_ONE,medium,false
pay_q1CbPoyPpF,MATCH,,7920.10,7920.10,7761.70,107902.57,0.00,MANY_TO_ONE,medium,false
pay_IefaNmKSde,MATCH,,19996.92,19996.92,19596.98,58442.36,0.00,MANY_TO_ONE,medium,false
pay_yExU9aPTww,MATCH,,39638.14,39638.14,38845.38,58442.36,0.00,MANY_TO_ONE,medium,false
pay_DevAJb5gPf,MATCH,,27269.61,27269.61,26724.22,26724.22,0.00,ONE_TO_MANY,medium,false
pay_aLbsLloKvB,MATCH,,2027.37,2027.37,1986.82,1986.82,0.00,ONE_TO_MANY,medium,false
pay_kfqtq2IdsR,MATCH,,142739.63,142739.63,139884.84,139884.84,0.00,ONE_TO_MANY,medium,false
