value_date,credit_amount,debit_amount,utr,reference,narration
2026-03-03,342.02,0.00,HDFC517702094582,RZPM4897411,IMPS VIKRAM RZPM4897411
2026-01-19,90034.10,0.00,UTIB360888252053,RZPM4162027,IMPS NIKHIL RZPM4162027
2026-01-19,4927.21,0.00,UTIB371044836277,NACH99103,NACH MANDATE SALARY CREDIT
2026-03-13,7770.81,0.00,ICIC125763308597,RZPM4650384,IMPS DIYA RZPM4650384
2026-03-08,26307.61,0.00,UTIB347675235876,RZPM4508108,IMPS NIKHIL RZPM4508108
2026-03-11,881.02,0.00,KKBK754525673956,RZPM4293636,IMPS YASH RZPM4293636
2026-02-10,51536.19,0.00,SBIN963212640247,RZPM4113565,IMPS RIYA RZPM4113565
2026-01-15,101141.08,0.00,HDFC997052107716,RZPM4248817,IMPS RIYA RZPM4248817
2026-01-15,3986.40,0.00,UTIB949749287977,NACH15590,NACH MANDATE SALARY CREDIT
2026-02-05,32421.26,0.00,HDFC283491433697,RZPM4788561,IMPS SHREYA RZPM4788561
2026-02-05,818.05,0.00,ICIC997316421649,NACH58662,NACH MANDATE SALARY CREDIT
2026-02-26,587.02,0.00,SBIN655986929577,RZPM4669235,IMPS KAVYA RZPM4669235
2026-01-17,30641.34,0.00,HDFC876185821636,RZPM4760454,IMPS FATIMA RZPM4760454
2026-01-17,876.52,0.00,ICIC997620219037,RZPM4621292,IMPS ANANYA RZPM4621292
2026-02-14,881.02,0.00,HDFC477357654656,RZPM4428066,IMPS POOJA RZPM4428066
2026-02-14,2495.97,0.00,KKBK361004087781,NACH15104,NACH MANDATE SALARY CREDIT
2026-01-28,125880.87,0.00,KKBK381652534195,Payout90868,RAZORPAY SETTLEMENT Payout90868
2026-02-24,113793.94,0.00,ICIC217059887882,RZPM4209577,IMPS SANJAY RZPM4209577
2026-01-30,587.02,0.00,SBIN826006666628,RZPM4768494,IMPS AARAV RZPM4768494
2026-01-30,587.02,0.00,UTIB331739718063,RZPM4768494,IMPS AARAV RZPM4768494
2026-02-22,587.02,0.00,ICIC547393404335,RZPM4569968,IMPS MEERA RZPM4569968
2026-02-07,16169.09,0.00,HDFC379834512047,RZPM4202348,IMPS HARSH RZPM4202348
2026-02-07,2612.20,0.00,SBIN735546123864,NACH71055,NACH MANDATE SALARY CREDIT
2026-01-16,14345.26,0.00,SBIN856247491794,RZPM4230540,IMPS AISHA RZPM4230540
2026-01-16,989.81,0.00,UTIB955105305252,NACH18419,NACH MANDATE SALARY CREDIT
2026-02-14,72718.67,0.00,UTIB610466531565,RZPM4383360,IMPS PRANAV RZPM4383360
2026-01-14,84615.82,0.00,KKBK112042558015,RZPM4224524,IMPS NIKHIL RZPM4224524
2026-02-05,3918.30,0.00,ICIC988541164850,RZPM4499231,IMPS AISHA RZPM4499231
2026-03-01,342.02,0.00,HDFC404473238326,RZPM4257121,IMPS SNEHA RZPM4257121
2026-03-24,3919.02,0.00,UTIB617478852108,RZPM4897859,IMPS ARJUN RZPM4897859
2026-01-31,8557.89,0.00,KKBK278770382033,RZPM4866991,IMPS ANANYA RZPM4866991
2026-01-31,3103.90,0.00,SBIN666947760697,NACH69237,NACH MANDATE SALARY CREDIT
2026-01-26,50651.09,0.00,ICIC347728223961,RZPM4534001,IMPS ADITYA RZPM4534001
2026-02-26,47426.20,0.00,SBIN710496620788,RZPM4687574,IMPS HARSH RZPM4687574
2026-02-26,1436.86,0.00,SBIN690903415947,NACH35905,NACH MANDATE SALARY CREDIT
2026-01-25,5782.64,0.00,ICIC794633219330,RZPM4224423,IMPS AARAV RZPM4224423
2026-02-21,80801.49,0.00,ICIC383073186214,RZPM4143276,IMPS AARAV RZPM4143276
2026-01-21,26556.91,0.00,KKBK557278850432,RZPM4178203,IMPS TANVI RZPM4178203
2026-01-21,118084.16,0.00,SBIN492015746357,RZPM4247897,IMPS POOJA RZPM4247897
2026-02-06,121968.25,0.00,KKBK445950957920,RZPM4827246,IMPS JHANVI RZPM4827246
2026-02-24,96330.84,0.00,ICIC179010626056,RZPM4785420,IMPS AARAV RZPM4785420
2026-02-24,96330.84,0.00,SBIN948937492408,RZPM4785420,IMPS AARAV RZPM4785420
2026-03-25,2155.02,0.00,UTIB710002036962,RZPM4319465,IMPS SNEHA RZPM4319465
2026-01-26,2311.67,0.00,KKBK249085724743,RZPM4453241,IMPS SIDDHARTH RZPM4453241
2026-01-27,0.00,2311.67,ICIC176655945359,RZPM4453241,REFUND REVERSAL RZPM4453241
2026-02-28,112661.87,0.00,ICIC631215182328,RZPM4757946,IMPS FATIMA RZPM4757946
2026-03-28,16974.38,0.00,UTIB401525702133,RZPM4201681,IMPS RAJESH RZPM4201681
