settlement_id,merchant_order_id,settlement_date,gross_amount,fee,tds,refund_amount,net_amount,payment_mode
STLM72000,RZPM4897411,2026-03-03,349.00,6.98,0.00,0.00,342.02,VISA
STLM72000D,RZPM4897411,2026-03-03,349.00,6.98,0.00,0.00,342.02,VISA
STLM72001,RZPM4162027,2026-01-19,91872.27,1837.45,0.00,0.00,90034.82,RUPAY
STLM72002,rzpm4650384,2026-03-13,7929.40,158.59,0.00,0.00,7770.81,UPI
STLM72003,RZPM4508108,2026-03-08,26708.23,400.62,0.00,0.00,26307.61,RUPAY
STLM72004,RZPM4293636,2026-03-11,899.00,17.98,0.00,0.00,881.02,RUPAY
STLM72005,RZPM4113565,2026-02-10,52587.95,1051.76,0.00,0.00,51536.19,RUPAY
STLM72006,RZPM4248817,2026-01-15,103205.18,2064.10,0.00,0.00,101141.08,UPI
STLM72007,RZPM4788561,2026-02-05,33082.92,661.66,0.00,0.00,32421.26,UPI
STLM72008,RZPM4669235,2026-02-26,599.00,11.98,0.00,0.00,587.02,RUPAY
STLD80000,RZPX9138557,2026-02-26,1599.00,31.98,0.00,0.00,1567.02,UPI
STLM72009,RZPM4760454,2026-01-17,31266.67,625.33,0.00,0.00,30641.34,UPI
STLD80001,RZPX9192965,2026-01-17,62508.86,1250.18,0.00,0.00,61258.68,UPI
STLM72010,RZPM4621292,2026-01-17,899.00,22.48,0.00,0.00,876.52,RUPAY
STLM72011,RZPM4428066,2026-02-14,899.00,17.98,0.00,0.00,881.02,RUPAY
STLM70012,RZPM4323754,2026-01-26,124720.93,2244.98,0.00,0.00,122475.95,UPI
STLM70013,RZPM4434363,2026-01-24,3121.88,56.19,0.00,0.00,3065.69,UPI
STLM70014,RZPM4698939,2026-01-24,349.00,6.28,3.49,0.00,339.23,UPI
STLM72015,RZPM4209577,2026-02-24,116116.27,2322.33,0.00,0.00,113793.94,UPI
STLM72016,RZPM4768494,2026-01-30,599.00,11.98,0.00,0.00,587.02,RUPAY
STLD80002,RZPX9113307,2026-01-30,17004.46,340.09,0.00,0.00,16664.37,UPI
STLM72017,rzpm4569968,2026-02-22,599.00,11.98,0.00,0.00,587.02,RUPAY
STLM72018,RZPM4202348,2026-02-07,18029.68,360.59,0.00,0.00,17669.09,RUPAY
STLM72019,RZPM4230540,2026-01-16,20032.18,400.64,0.00,5286.28,19631.54,UPI
STLM72020,RZPM4383360,2026-02-14,74202.72,1484.05,0.00,0.00,72718.67,UPI
STLM72021,RZPM4224524,2026-01-14,85643.54,1027.72,0.00,0.00,84615.82,VISA
STLM72022,RZPM4499231,2026-02-05,3999.00,79.98,0.00,0.00,3919.02,UPI
STLM72023,RZPM4257121,2026-03-01,349.00,6.98,0.00,0.00,342.02,VISA
STLM72024,RZPM4897859,2026-03-24,3999.00,79.98,0.00,0.00,3919.02,RUPAY
STLD80003,RZPX9142574,2026-03-24,599.00,11.98,0.00,0.00,587.02,UPI
STLM72026,RZPM4866991,2026-01-31,8732.54,174.65,0.00,0.00,8557.89,VISA
STLM72027,RZPM4534001,2026-01-26,74410.13,1488.20,0.00,22270.84,72921.93,VISA
STLM72028,RZPM4687574,2026-02-26,48892.99,977.86,488.93,0.00,47426.20,UPI
STLM72029,RZPM4224423,2026-01-23,5900.65,118.01,0.00,0.00,5782.64,RUPAY
STLM72030,RZPM4143276,2026-02-19,82450.50,1649.01,0.00,0.00,80801.49,RUPAY
STLM72031,RZPM4178203,2026-01-21,37520.15,750.40,0.00,10212.84,36769.75,VISA
STLM72032,RZPM4617815,2026-02-25,599.00,11.98,0.00,0.00,587.02,VISA
STLM72033,RZPM4247897,2026-01-21,120494.04,2409.88,0.00,0.00,118084.16,RUPAY
STLM72034,RZPM4827246,2026-02-06,124457.40,2489.15,0.00,0.00,121968.25,RUPAY
STLM72034D,RZPM4827246,2026-02-06,124457.40,2489.15,0.00,0.00,121968.25,RUPAY
STLM72036,RZPM4553865,2026-02-26,85444.65,1708.89,0.00,0.00,83735.76,VISA
STLM72037,RZPM4785420,2026-02-24,98296.78,1965.94,0.00,0.00,96330.84,VISA
STLD80004,RZPX9171332,2026-02-24,13165.80,263.32,0.00,0.00,12902.48,UPI
STLM72038,RZPM4319465,2026-03-25,2199.00,43.98,0.00,0.00,2155.02,VISA
STLM72039,RZPM4453241,2026-01-26,2358.85,47.18,0.00,2311.67,2311.67,VISA
STLM72040,RZPM4757946,2026-02-28,114960.76,2299.22,0.00,0.00,112661.54,RUPAY
STLM72042,RZPM4201681,2026-03-28,17320.80,346.42,0.00,0.00,16974.38,UPI
STLM72043,RZPM4738884,2026-03-18,599.00,11.98,0.00,0.00,587.02,VISA
STLM72044,RZPM4218067,2026-01-10,349.00,6.98,0.00,0.00,342.02,VISA
STLM72045,RZPM4272984,2026-03-24,63011.98,1260.24,0.00,0.00,61751.74,UPI
STLM72046,RZPM4359787,2026-01-13,8328.20,166.56,0.00,0.00,8161.64,VISA
STLM72047,RZPM4341606,2026-01-24,1599.00,31.98,0.00,0.00,1567.02,VISA
STLM72048,RZPM4594712,2026-03-21,17517.67,350.35,0.00,0.00,17167.32,UPI
STLM72049,RZPM4391506,2026-01-26,89600.47,1792.01,0.00,0.00,87808.46,UPI
STLM72050,RZPM4723977,2026-01-31,73640.68,1472.81,0.00,0.00,72167.87,VISA
STLM72051,RZPM4747073,2026-02-03,17029.35,374.65,170.29,0.00,16484.41,UPI
STLM72052,RZPM4575154,2026-02-01,58952.75,1179.06,0.00,0.00,57773.69,RUPAY
STLM72053,RZPM4553026,2026-01-25,10583.56,211.67,0.00,0.00,10371.89,UPI
STLD80005,RZPX9145131,2026-01-25,79049.84,1581.00,0.00,0.00,77468.84,UPI
STLM72054,RZPM4456711,2026-02-28,899.00,16.18,8.99,0.00,873.83,RUPAY
STLM72055,RZPM4751217,2026-03-01,11265.13,225.30,0.00,3499.99,11039.83,VISA
STLM72056,RZPM4253767,2026-02-20,10055.54,201.11,0.00,0.00,9854.43,RUPAY
STLM72057,RZPM4391192,2026-01-24,1599.00,31.98,15.99,0.00,1551.03,VISA
STLM72058,RZPM4361787,2026-02-25,16926.18,338.52,0.00,0.00,16587.66,UPI
STLM72058D,RZPM4361787,2026-02-25,16926.18,338.52,0.00,0.00,16587.66,UPI
STLM72059,rzpm4319767,2026-03-07,2199.00,43.98,0.00,0.00,2155.02,UPI
