transaction_id,expected_decision,expected_reason,expected_ledger_amount,expected_gateway_amount,expected_settlement_amount,expected_bank_amount,expected_variance,expected_match_type,expected_confidence_band,human_review_required
RZPM4897411,EXCEPTION,duplicate_gateway,349.00,349.00,342.02,342.02,0.00,EXCEPTION,high,true
RZPM4162027,MATCH,,91872.27,91872.27,90034.82,90034.10,0.72,TOLERANCE,medium,false
RZPM4650384,MATCH,,7929.40,7929.40,7770.81,7770.81,0.00,FUZZY,medium,false
RZPM4508108,MATCH,,26708.23,26708.23,26307.61,26307.61,0.00,TOLERANCE,medium,false
RZPM4293636,MATCH,,899.00,899.00,881.02,881.02,0.00,EXACT,high,false
RZPM4113565,MATCH,,52587.95,52587.95,51536.19,51536.19,0.00,EXACT,high,false
RZPM4248817,MATCH,,103205.18,103205.18,101141.08,101141.08,0.00,EXACT,high,false
RZPM4788561,MATCH,,33082.92,33082.92,32421.26,32421.26,0.00,EXACT,high,false
RZPM4669235,MATCH,,599.00,599.00,587.02,587.02,0.00,EXACT,high,false
RZPM4760454,MATCH,,31266.67,31266.67,30641.34,30641.34,0.00,EXACT,high,false
RZPM4621292,MATCH,,899.00,899.00,876.52,876.52,0.00,TOLERANCE,medium,false
RZPM4428066,MATCH,,899.00,899.00,881.02,881.02,0.00,EXACT,high,false
RZPM4323754,MATCH,,124720.93,124720.93,122475.95,125880.87,0.00,MANY_TO_ONE,medium,false
RZPM4434363,MATCH,,3121.88,3121.88,3065.69,125880.87,0.00,MANY_TO_ONE,medium,false
RZPM4698939,MATCH,,349.00,349.00,339.23,125880.87,0.00,MANY_TO_ONE,medium,false
RZPM4209577,MATCH,,116116.27,116116.27,113793.94,113793.94,0.00,EXACT,high,false
RZPM4768494,EXCEPTION,duplicate_bank_credit,599.00,599.00,587.02,587.02,0.00,EXCEPTION,high,true
RZPM4569968,MATCH,,599.00,599.00,587.02,587.02,0.00,FUZZY,medium,false
RZPM4202348,EXCEPTION,amount_mismatch,18029.68,18029.68,17669.09,16169.09,1500.00,EXCEPTION,high,true
RZPM4230540,EXCEPTION,refund_partial,20032.18,20032.18,19631.54,14345.26,5286.28,EXCEPTION,high,true
RZPM4383360,MATCH,,74202.72,74202.72,72718.67,72718.67,0.00,EXACT,high,false
RZPM4224524,MATCH,,85643.54,85643.54,84615.82,84615.82,0.00,TOLERANCE,medium,false
RZPM4499231,MATCH,,3999.00,3999.00,3919.02,3918.30,0.72,TOLERANCE,medium,false
RZPM4257121,MATCH,,349.00,349.00,342.02,342.02,0.00,EXACT,high,false
RZPM4897859,MATCH,,3999.00,3999.00,3919.02,3919.02,0.00,EXACT,high,false
RZPM4724909,EXCEPTION,missing_settlement,66389.22,,,,,EXCEPTION,high,true
RZPM4866991,MATCH,,8732.54,8732.54,8557.89,8557.89,0.00,EXACT,high,false
RZPM4534001,EXCEPTION,refund_partial,74410.13,74410.13,72921.93,50651.09,22270.84,EXCEPTION,high,true
RZPM4687574,MATCH,,48892.99,48892.99,47426.20,47426.20,0.00,TOLERANCE,medium,false
RZPM4224423,MATCH,timing_difference,5900.65,5900.65,5782.64,5782.64,0.00,FUZZY,medium,false
RZPM4143276,MATCH,timing_difference,82450.50,82450.50,80801.49,80801.49,0.00,FUZZY,medium,false
RZPM4178203,EXCEPTION,refund_partial,37520.15,37520.15,36769.75,26556.91,10212.84,EXCEPTION,high,true
RZPM4617815,EXCEPTION,missing_bank_credit,599.00,599.00,587.02,,,EXCEPTION,high,true
RZPM4247897,MATCH,,120494.04,120494.04,118084.16,118084.16,0.00,EXACT,high,false
RZPM4827246,EXCEPTION,duplicate_gateway,124457.40,124457.40,121968.25,121968.25,0.00,EXCEPTION,high,true
RZPM4647404,EXCEPTION,missing_settlement,49741.75,,,,,EXCEPTION,high,true
RZPM4553865,EXCEPTION,missing_bank_credit,85444.65,85444.65,83735.76,,,EXCEPTION,high,true
RZPM4785420,EXCEPTION,duplicate_bank_credit,98296.78,98296.78,96330.84,96330.84,0.00,EXCEPTION,high,true
RZPM4319465,MATCH,,2199.00,2199.00,2155.02,2155.02,0.00,EXACT,high,false
RZPM4453241,EXCEPTION,refund_full,2358.85,2358.85,2311.67,0.00,2311.67,EXCEPTION,high,true
RZPM4757946,MATCH,,114960.76,114960.76,112661.54,112661.87,-0.33,TOLERANCE,medium,false
RZPM4842549,EXCEPTION,missing_settlement,69412.99,,,,,EXCEPTION,high,true
RZPM4201681,MATCH,,17320.80,17320.80,16974.38,16974.38,0.00,EXACT,high,false
RZPM4738884,EXCEPTION,amount_mismatch,599.00,599.00,587.02,47.02,540.00,EXCEPTION,high,true
RZPM4218067,MATCH,,349.00,349.00,342.02,342.02,0.00,EXACT,high,false
RZPM4272984,EXCEPTION,duplicate_bank_credit,63011.98,63011.98,61751.74,61751.74,0.00,EXCEPTION,high,true
RZPM4359787,EXCEPTION,duplicate_bank_credit,8328.20,8328.20,8161.64,8161.64,0.00,EXCEPTION,high,true
RZPM4341606,MATCH,,1599.00,1599.00,1567.02,1567.02,0.00,EXACT,high,false
RZPM4594712,EXCEPTION,missing_bank_credit,17517.67,17517.67,17167.32,,,EXCEPTION,high,true
RZPM4391506,EXCEPTION,amount_mismatch,89600.47,89600.47,87808.46,87268.46,540.00,EXCEPTION,high,true
RZPM4723977,MATCH,,73640.68,73640.68,72167.87,72167.87,0.00,EXACT,high,false
RZPM4747073,MATCH,timing_difference,17029.35,17029.35,16484.41,16484.41,0.00,FUZZY,medium,false
RZPM4575154,EXCEPTION,missing_bank_credit,58952.75,58952.75,57773.69,,,EXCEPTION,high,true
RZPM4553026,EXCEPTION,missing_bank_credit,10583.56,10583.56,10371.89,,,EXCEPTION,high,true
RZPM4456711,MATCH,timing_difference,899.00,899.00,873.83,873.83,0.00,FUZZY,medium,false
RZPM4751217,EXCEPTION,refund_partial,11265.13,11265.13,11039.83,7539.84,3499.99,EXCEPTION,high,true
RZPM4253767,MATCH,,10055.54,10055.54,9854.43,9854.43,0.00,EXACT,high,false
RZPM4391192,MATCH,,1599.00,1599.00,1551.03,1551.03,0.00,TOLERANCE,medium,false
RZPM4361787,EXCEPTION,duplicate_gateway,16926.18,16926.18,16587.66,16587.66,0.00,EXCEPTION,high,true
RZPM4319767,MATCH,,2199.00,2199.00,2155.02,2155.02,0.00,FUZZY,medium,false
RZPM4551044,EXCEPTION,amount_mismatch,78426.04,78426.04,76857.52,76737.52,120.00,EXCEPTION,high,true
RZPM4659721,EXCEPTION,refund_full,899.00,899.00,881.02,0.00,881.02,EXCEPTION,high,true
RZPM4241465,EXCEPTION,duplicate_gateway,19678.92,19678.92,19285.34,19285.34,0.00,EXCEPTION,high,true
RZPM4342935,MATCH,,57385.58,57385.58,56237.87,56237.87,0.00,EXACT,high,false
RZPM4493517,EXCEPTION,amount_mismatch,14921.43,14921.43,14623.00,13123.00,1500.00,EXCEPTION,high,true
RZPM4858581,MATCH,,37527.68,37527.68,36777.13,36777.13,0.00,ONE_TO_MANY,medium,false
RZPM4169578,MATCH,,24851.80,24851.80,24354.76,24354.76,0.00,ONE_TO_MANY,medium,false
RZPM4893728,MATCH,,50304.44,50304.44,49298.35,49298.35,0.00,ONE_TO_MANY,medium,false
RZPM4261834,EXCEPTION,missing_settlement,3999.00,,,,,EXCEPTION,high,true
RZPM4381373,EXCEPTION,missing_bank_credit,74630.40,74630.40,73137.79,,,EXCEPTION,high,true
RZPM4777120,EXCEPTION,missing_settlement,3999.00,,,,,EXCEPTION,high,true
RZPM4689089,MATCH,,112610.79,112610.79,110358.57,110358.57,0.00,EXACT,high,false
RZPM4177704,MATCH,,115382.30,115382.30,113074.65,113074.65,0.00,EXACT,high,false
RZPM4214637,EXCEPTION,amount_mismatch,77532.14,77532.14,75981.50,74481.50,1500.00,EXCEPTION,high,true
RZPM4590814,EXCEPTION,refund_full,73375.74,73375.74,71908.23,0.00,71908.23,EXCEPTION,high,true
RZPM4639147,EXCEPTION,duplicate_bank_credit,899.00,899.00,881.02,881.02,0.00,EXCEPTION,high,true
RZPM4651074,MATCH,,17375.48,17375.48,17027.97,17027.97,0.00,EXACT,high,false
RZPM4535140,MATCH,,29183.94,29183.94,28600.26,28600.26,0.00,EXACT,high,false
RZPM4560425,MATCH,,47035.21,47035.21,46094.51,46094.51,0.00,EXACT,high,false
RZPM4761588,MATCH,timing_difference,3198.49,3198.49,3102.54,3102.54,0.00,FUZZY,medium,false
RZPM4659976,EXCEPTION,missing_settlement,90054.87,,,,,EXCEPTION,high,true
RZPM4125758,EXCEPTION,amount_mismatch,2199.00,2199.00,2155.02,655.02,1500.00,EXCEPTION,high,true
RZPM4404003,EXCEPTION,missing_bank_credit,50821.56,50821.56,49805.13,,,EXCEPTION,high,true
RZPM4147704,EXCEPTION,amount_mismatch,349.00,349.00,342.02,-637.98,980.00,EXCEPTION,high,true
RZPM4882116,MATCH,,599.00,599.00,587.02,587.02,0.00,FUZZY,medium,false
RZPM4811529,MATCH,,74813.67,74813.67,72569.26,72569.26,0.00,TOLERANCE,medium,false
RZPM4129108,MATCH,,121804.43,121804.43,118150.30,118150.30,0.00,TOLERANCE,medium,false
RZPM4709620,MATCH,,599.00,599.00,584.02,584.02,0.00,TOLERANCE,medium,false
RZPM4768422,MATCH,,23405.85,23405.85,22937.73,22937.73,0.00,EXACT,high,false
RZPM4881860,MATCH,,899.00,899.00,881.02,881.02,0.00,EXACT,high,false
RZPM4203664,EXCEPTION,missing_bank_credit,32968.39,32968.39,32309.02,,,EXCEPTION,high,true
RZPM4211849,MATCH,,108320.69,108320.69,106154.28,106154.28,0.00,EXACT,high,false
RZPM4731469,EXCEPTION,duplicate_gateway,3653.24,3653.24,3580.18,3580.18,0.00,EXCEPTION,high,true
RZPM4116742,MATCH,timing_difference,28173.30,28173.30,27609.83,27609.83,0.00,FUZZY,medium,false
RZPM4526875,MATCH,,6162.33,6162.33,6039.08,6039.08,0.00,EXACT,high,false
RZPM4809356,MATCH,,48787.27,48787.27,47811.52,47811.52,0.00,EXACT,high,false
RZPM4774617,MATCH,,80639.11,80639.11,79026.33,79026.33,0.00,EXACT,high,false
RZPM4356770,EXCEPTION,refund_partial,113206.71,113206.71,110942.58,74852.45,36090.13,EXCEPTION,high,true
RZPM4613803,MATCH,,15668.74,15668.74,15355.37,15355.70,-0.33,TOLERANCE,medium,false
RZPM4522109,MATCH,timing_difference,12468.81,12468.81,12069.81,12069.81,0.00,FUZZY,medium,false
